"CHD";"CHS";"THA";"SKE";"GYR";"PSZ";"NIT";"NAV";"GYM";"PRP"
"1";1e+06;1e+06;1e+06;1e+06;1e+06;1e+06;1e+06;1e+06;1e+06;1e+06
"2";999955.94279002;999973.873401365;998861.008787926;999839.929651856;996671.3086315;0.211010747838773;999123.273100409;999484.645070676;999113.604907996;999633.087645863
"3";999911.398049515;999947.188546887;997723.988380133;999679.76653414;993353.720987053;0.00639354103365524;998247.315233476;998969.39322743;998227.996201586;999266.436734984
"4";999866.841709589;999920.490241496;996588.001067312;999519.630531391;990047.156241047;0.00247582921614351;997372.125128081;998454.443632226;997343.17196151;998899.886969154
"5";999822.28171087;999893.785491981;995453.018604651;999359.540360593;986751.596557434;0.000602435142773149;996497.702320271;997939.832136592;996459.131982502;998533.470031744
"6";999777.721384464;999867.079564808;994319.824503057;999199.453932313;983467.018276781;0.000269378319681588;995624.046223388;997425.382640806;995575.875883156;998167.201408475
"7";999733.162309702;999840.373744085;993187.846180992;999039.393454443;980193.36811378;0.000102200570611482;994751.156036722;996911.208427591;994693.402558885;997801.058941111
"8";999688.605524671;999813.668480288;992057.037930481;998879.359998635;976930.612020375;3.6160335895253e-05;993879.031117214;996397.319502275;993811.711375576;997435.046833041
"9";999644.067328737;999786.974747521;990927.34939085;998719.350578503;973678.895138144;3.59598336578045e-05;993007.676489746;995883.657213081;992930.807089592;997069.750753198
"10";999599.515227564;999760.27133939;989798.978710528;998559.372913803;970437.822676576;1.15841949395676e-05;992137.080125135;995370.327097723;992050.678232595;996704.003503307
"11";999554.964409194;999733.568496647;988671.955027741;998399.418363785;967207.540168196;3.03232912695668e-06;991267.247038496;994857.24772885;991171.329531687;996338.39281464
"12";999510.415036259;999706.866116029;987545.753623012;998239.616171815;963988.009386404;8.82004829236516e-07;990398.176556851;994344.5506843;990292.760255065;995972.915479184
"13";999465.866943813;999680.16424557;986421.535928358;998079.70967301;960779.204837586;3.84136776467984e-07;989529.868070213;993831.958484177;989414.969949804;995607.582378535
"14";999421.321414709;999653.463420126;985298.780359474;997919.828682061;957581.150135654;2.81981828706794e-07;988662.32209651;993319.619225589;988537.959605286;995242.538627426
"15";999376.778273312;999626.763096699;984176.345947763;997760.238650723;954393.663648842;8.14074095992475e-08;987795.535429948;992807.717978046;987661.724541019;994877.462809171
