Division;Class;Order;Genus;Species;SFLAG;STAGE;Author;AphiaID;AphiaID_link;Trophy;Geometric_shape;FORMULA;SizeClassNo;Nonvalid_SIZCL;Not_accepted_name;Unit;SizeRange;Length(l1)µm;Length(l2)µm;Width(w)µm;Height(h)µm;Diameter(d1)µm;Diameter(d2)µm;No_of_cells/counting_unit;Calculated_volume_µm3;Comment;Filament_length_of_cell(µm);Calculated_Carbon_pg/counting_unit;Comment_on_Carbon_calculation;Corrections/Additions;Synonyms - NOT IMPORTED, NOT handled by ICES;WORMS Rank
CYANOPHYTA (CYANOBACTERIA);Nostocophyceae (Cyanophyceae);CHROOCOCCALES;Anathece;Anathece bachmannii;;;(Komárek&Cronberg) Komárek, Kastovsky&Jezberová 2011;624957;http://www.marinespecies.org/aphia.php?p=taxdetails&id=624957;AU;rotational ellipsoid;π/6*d^2*l;2;;;colony;0.5-1x0.8-2;1,3;;;;0,9;;20;11;;;2;based on individual cell;Size range changed from  0.8-2x0.5-1 to  0.5-1x0.8-2;Aphanothece bachmannii;Species
CYANOPHYTA (CYANOBACTERIA);Nostocophyceae (Cyanophyceae);CHROOCOCCALES;Anathece;Anathece bachmannii;;;(Komárek&Cronberg) Komárek, Kastovsky&Jezberová 2011;624957;http://www.marinespecies.org/aphia.php?p=taxdetails&id=624957;AU;rotational ellipsoid;π/6*d^2*l;3;;;colony;0.5-1x0.8-2;1,3;;;;0,9;;50;26;;;6;based on individual cell;Size range changed from  0.8-2x0.5-1 to  0.5-1x0.8-2;Aphanothece bachmannii;Species
CYANOPHYTA (CYANOBACTERIA);Nostocophyceae (Cyanophyceae);CHROOCOCCALES;Anathece;Anathece bachmannii;;;(Komárek&Cronberg) Komárek, Kastovsky&Jezberová 2011;624957;http://www.marinespecies.org/aphia.php?p=taxdetails&id=624957;AU;rotational ellipsoid;π/6*d^2*l;4;;;colony;0.5-1x0.8-2;1,3;;;;0,9;;100;53;;;12;based on individual cell;Size range changed from  0.8-2x0.5-1 to  0.5-1x0.8-2;Aphanothece bachmannii;Species
CYANOPHYTA (CYANOBACTERIA);Nostocophyceae (Cyanophyceae);CHROOCOCCALES;Anathece;Anathece bachmannii;;;(Komárek&Cronberg) Komárek, Kastovsky&Jezberová 2011;624957;http://www.marinespecies.org/aphia.php?p=taxdetails&id=624957;AU;rotational ellipsoid;π/6*d^2*l;5;;;colony;0.5-1x0.8-2;1,3;;;;0,9;;200;106;;;24;based on individual cell;Size range changed from  0.8-2x0.5-1 to  0.5-1x0.8-2;Aphanothece bachmannii;Species
CYANOPHYTA (CYANOBACTERIA);Nostocophyceae (Cyanophyceae);CHROOCOCCALES;Anathece;Anathece bachmannii;;;(Komárek&Cronberg) Komárek, Kastovsky&Jezberová 2011;624957;http://www.marinespecies.org/aphia.php?p=taxdetails&id=624957;AU;rotational ellipsoid;π/6*d^2*l;6;;;cell;0.5-1x0.8-2;1,3;;;;0,9;;1;0,5;;;0,1;based on individual cell;"New size class of size class 1 with corrected formula; Size range changed from  0.8-2x0.5-1 to  0.5-1x0.8-2";Aphanothece bachmannii;Species
CYANOPHYTA (CYANOBACTERIA);Nostocophyceae (Cyanophyceae);CHROOCOCCALES;Anathece;Anathece clathrata;;;(W.West & G.S.West) Komárek, Kastovsky & Jezberová 2011;699619;http://www.marinespecies.org/aphia.php?p=taxdetails&id=699619;AU;rotational ellipsoid;π/6*d^2*l;1;;;cell; 0.4-2x0.8-3.5;2,5;;;;1,2;;1;1,9;;;0,4;based on individual cell;Size range changed from   0.8-3.5x0.4-2 to 0.4-2x0.8-3.5;Aphanothece clathrata;Species
CYANOPHYTA (CYANOBACTERIA);Nostocophyceae (Cyanophyceae);CHROOCOCCALES;Anathece;Anathece clathrata;;;(W.West & G.S.West) Komárek, Kastovsky & Jezberová 2011;699619;http://www.marinespecies.org/aphia.php?p=taxdetails&id=699619;AU;rotational ellipsoid;π/6*d^2*l;2;;;colony; 0.4-2x0.8-3.5;2,5;;;;1,2;;20;38;;;8;based on individual cell;Size range changed from   0.8-3.5x0.4-2 to 0.4-2x0.8-3.5;Aphanothece clathrata;Species
CYANOPHYTA (CYANOBACTERIA);Nostocophyceae (Cyanophyceae);CHROOCOCCALES;Anathece;Anathece clathrata;;;(W.West & G.S.West) Komárek, Kastovsky & Jezberová 2011;699619;http://www.marinespecies.org/aphia.php?p=taxdetails&id=699619;AU;rotational ellipsoid;π/6*d^2*l;3;;;colony; 0.4-2x0.8-3.5;2,5;;;;1,2;;50;94;;;20;based on individual cell;Size range changed from   0.8-3.5x0.4-2 to 0.4-2x0.8-3.5;Aphanothece clathrata;Species
CYANOPHYTA (CYANOBACTERIA);Nostocophyceae (Cyanophyceae);CHROOCOCCALES;Anathece;Anathece clathrata;;;(W.West & G.S.West) Komárek, Kastovsky & Jezberová 2011;699619;http://www.marinespecies.org/aphia.php?p=taxdetails&id=699619;AU;rotational ellipsoid;π/6*d^2*l;4;;;colony; 0.4-2x0.8-3.5;2,5;;;;1,2;;100;188;;;39;based on individual cell;Size range changed from   0.8-3.5x0.4-2 to 0.4-2x0.8-3.5;Aphanothece clathrata;Species
CYANOPHYTA (CYANOBACTERIA);Nostocophyceae (Cyanophyceae);CHROOCOCCALES;Anathece;Anathece clathrata;;;(W.West & G.S.West) Komárek, Kastovsky & Jezberová 2011;699619;http://www.marinespecies.org/aphia.php?p=taxdetails&id=699619;AU;rotational ellipsoid;π/6*d^2*l;5;;;colony; 0.4-2x0.8-3.5;2,5;;;;1,2;;200;377;;;78;based on individual cell;Size range changed from 0.8-3.5x0.4-2 to 0.4-2x0.8-3.5;Aphanothece clathrata;Species
CYANOPHYTA (CYANOBACTERIA);Nostocophyceae (Cyanophyceae);CHROOCOCCALES;Anathece;Anathece minutissima;;;(W.West) Komárek, Kastovsky & Jezberová, 2011;624955;http://www.marinespecies.org/aphia.php?p=taxdetails&id=624955;AU;rotational ellipsoid;π/6*d^2*l;1;;;cell;0.8-1x1-2;1,5;;;;0,9;;1;0,6;;;0,1;based on individual cell;Size range changed from 1-2x0.8-1 to 0.8-1x1-2;Aphanothece minutissima;Species
CYANOPHYTA (CYANOBACTERIA);Nostocophyceae (Cyanophyceae);CHROOCOCCALES;Anathece;Anathece minutissima;;;(W.West) Komárek, Kastovsky & Jezberová, 2012;624955;http://www.marinespecies.org/aphia.php?p=taxdetails&id=624955;AU;rotational ellipsoid;π/6*d^2*l;2;;;colony;0.8-1x1-2;1,5;;;;0,9;;20;13;;;3;based on individual cell;Size range changed from 1-2x0.8-1 to 0.8-1x1-2;Aphanothece minutissima;Species
CYANOPHYTA (CYANOBACTERIA);Nostocophyceae (Cyanophyceae);CHROOCOCCALES;Anathece;Anathece minutissima;;;(W.West) Komárek, Kastovsky & Jezberová, 2013;624955;http://www.marinespecies.org/aphia.php?p=taxdetails&id=624955;AU;rotational ellipsoid;π/6*d^2*l;3;;;colony;0.8-1x1-2;1,5;;;;0,9;;50;32;;;7;based on individual cell;Size range changed from 1-2x0.8-1 to 0.8-1x1-2;Aphanothece minutissima;Species
CYANOPHYTA (CYANOBACTERIA);Nostocophyceae (Cyanophyceae);CHROOCOCCALES;Anathece;Anathece minutissima;;;(W.West) Komárek, Kastovsky & Jezberová, 2014;624955;http://www.marinespecies.org/aphia.php?p=taxdetails&id=624955;AU;rotational ellipsoid;π/6*d^2*l;4;;;colony;0.8-1x1-2;1,5;;;;0,9;;100;64;;;14;based on individual cell;Size range changed from 1-2x0.8-1 to 0.8-1x1-2;Aphanothece minutissima;Species
CYANOPHYTA (CYANOBACTERIA);Nostocophyceae (Cyanophyceae);CHROOCOCCALES;Anathece;Anathece minutissima;;;(W.West) Komárek, Kastovsky & Jezberová, 2015;624955;http://www.marinespecies.org/aphia.php?p=taxdetails&id=624955;AU;rotational ellipsoid;π/6*d^2*l;5;;;colony;0.8-1x1-2;1,5;;;;0,9;;200;127;;;28;based on individual cell;Size range changed from 1-2x0.8-1 to 0.8-1x1-2;Aphanothece minutissima;Species
CYANOPHYTA (CYANOBACTERIA);Nostocophyceae (Cyanophyceae);CHROOCOCCALES;Anathece;Anathece smithii;;;(Komárková-Legnerová & Cronberg) Komárek, Kastovsky & Jezberová, 2011 ;624960;http://www.marinespecies.org/aphia.php?p=taxdetails&id=624960;AU;rotational ellipsoid;π/6*d^2*l;1;;;cell; 1-1.5x2-3.5;2,8;;;;1,3;;1;2;;;0,5;based on individual cell;Size range changed from 2-3.5x1-1.5 to 1-1.5x2-3.5;Aphanothece smithii;Species
CYANOPHYTA (CYANOBACTERIA);Nostocophyceae (Cyanophyceae);CHROOCOCCALES;Anathece;Anathece smithii;;;(Komárková-Legnerová & Cronberg) Komárek, Kastovsky & Jezberová, 2011 ;624960;http://www.marinespecies.org/aphia.php?p=taxdetails&id=624960;AU;rotational ellipsoid;π/6*d^2*l;2;;;colony; 1-1.5x2-3.5;2,8;;;;1,3;;20;45;;;9;based on individual cell;Size range changed from 2-3.5x1-1.5 to 1-1.5x2-3.5;Aphanothece smithii;Species
CYANOPHYTA (CYANOBACTERIA);Nostocophyceae (Cyanophyceae);CHROOCOCCALES;Anathece;Anathece smithii;;;(Komárková-Legnerová & Cronberg) Komárek, Kastovsky & Jezberová, 2011 ;624960;http://www.marinespecies.org/aphia.php?p=taxdetails&id=624960;AU;rotational ellipsoid;π/6*d^2*l;3;;;colony; 1-1.5x2-3.5;2,8;;;;1,3;;50;112;;;23;based on individual cell;Size range changed from 2-3.5x1-1.5 to 1-1.5x2-3.5;Aphanothece smithii;Species
CYANOPHYTA (CYANOBACTERIA);Nostocophyceae (Cyanophyceae);CHROOCOCCALES;Anathece;Anathece smithii;;;(Komárková-Legnerová & Cronberg) Komárek, Kastovsky & Jezberová, 2011 ;624960;http://www.marinespecies.org/aphia.php?p=taxdetails&id=624960;AU;rotational ellipsoid;π/6*d^2*l;4;;;colony; 1-1.5x2-3.5;2,8;;;;1,3;;100;225;;;46;based on individual cell;Size range changed from 2-3.5x1-1.5 to 1-1.5x2-3.5;Aphanothece smithii;Species
