"CHA";"DIT";"GUI";"LEP";"SKE";"THP";"NIT";"PLE";"PSE";"PRO";"PRP"
"CHA";1.10409596765465e-05;-1.28389134220628e-05;-8.62417683510031e-06;4.05653892218435e-07;-2.11956682596007e-06;-2.47877812046505e-06;0;0;0;0;0
"DIT";2.03666686514379e-06;0.00107041250648152;-2.12914720250844e-05;3.80609513350522e-06;-1.2407838368004e-06;-4.68693902253523e-05;0;0;0;0;0
"GUI";-1.03938726049507e-06;-6.91713843036449e-05;0.000107275940327301;7.60895873404146e-07;-3.41702938343605e-06;-3.34872312612291e-07;0;0;0;0;0
"LEP";-3.26577361212908e-06;-3.9623196110514e-05;-8.55136709204403e-06;3.45416488876404e-05;-1.69535570537185e-06;-1.70671048083887e-06;0;0;0;0;0
"SKE";3.6493811495784e-07;-4.22899500443832e-05;8.58663232227726e-06;4.48962512599097e-07;3.27421365091616e-06;-1.08010220373153e-05;0;0;0;0;0
"THP";5.3450042789937e-07;-6.58029819159852e-05;8.18219123577625e-06;-8.01818269407516e-07;-2.01398634689521e-06;3.39681793925929e-05;0;0;0;0;0
"NIT";0;0;0;0;0;0;0.000257023059412173;-3.67496132276043e-05;4.99501363163271e-06;0;0
"PLE";0;0;0;0;0;0;-1.6428024122207e-06;0.00127520142474104;-1.59071941793148e-05;0;0
"PSE";0;0;0;0;0;0;-7.64403343802431e-05;8.097597272596e-05;5.15439233752512e-05;0;0
"PRO";0;0;0;0;0;0;0;0;0;0.000157971355189065;-5.00452297932291e-05
"PRP";0;0;0;0;0;0;0;0;0;-8.0105092426741e-06;0.000200342301018824
