"CHA";"DIT";"GUI";"LEP";"SKE";"THP";"NIT";"PLE";"PSE";"PRO";"PRP"
"1";1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000
"2";1388.21864997597;1008.25704813827;1073.81248235216;1078.89516777872;1123.49649444065;1303.92321033511;991.235992782482;1106.98117428964;989.328111704036;1035.69504248908;1029.94181504101
"3";2481.04686445671;1003.204707677;1134.13197602819;1353.07008212475;1207.6656732165;1894.25549406477;983.445377981735;1224.56759225444;978.715592368855;1148.36555041954;1044.45694864977
"4";5424.80087210084;996.053088223274;1194.15664649686;2177.52771586949;1263.66592768983;2951.3202945289;976.509546359818;1349.12017839045;968.202921895279;1406.4013291318;1054.84348188983
"5";11679.225806732;988.450952778987;1346.8893438752;2688.78808546995;1299.5321354832;4909.93621411754;970.859954622738;1465.57843344754;958.274767429966;1671.47413000775;1093.88864713823
"6";22917.0267225829;980.538993049554;1642.53107204329;3048.50651095062;1321.00504515134;7819.30835303724;965.801126052239;1582.51395428618;949.749210636961;1946.0609258619;1175.19393013842
"7";37817.4716180195;975.915649723037;2000.59192803753;3290.72867404472;1344.24003033031;11165.0938853668;960.545184617617;1698.62711152488;942.74988553252;2099.48318932461;1276.40992113854
"8";57936.230456392;970.017113454821;2455.03153317347;3621.03832185257;1356.58914668816;14763.6806310975;955.28025954749;1852.12748962593;935.328193432497;2423.92712706388;1382.79421040262
"9";80445.4154723101;963.152930616549;2965.38000631964;4026.70885194353;1361.19680648208;18405.7638003873;950.17343248106;2006.04590830684;927.987537909773;2857.68239430737;1497.52365883759
"10";98865.7067332193;962.131807502943;3309.57590342363;4298.91431927436;1386.54993125652;21725.8011503605;944.712136950404;2123.81580316426;921.223100946037;2960.9185109262;1594.32257516093
"11";118402.020867761;959.920038516751;3761.02243261677;4491.11037172265;1400.22336007962;25336.7861779101;939.594925035787;2260.94722158142;915.267286542425;3151.58678595315;1710.76645628892
"12";138644.595681389;955.93711592286;3834.89800440395;4938.65455340011;1405.63249061732;27400.3118357762;932.360366497196;2378.83466939684;906.131962258355;3253.12921659479;1722.20789179048
"13";158450.176272689;950.678549752638;4040.84689104177;5319.0577730858;1405.16935108577;30203.0407650644;926.522413662088;2495.05462651142;897.905202442181;3446.59360968331;1762.5259879864
"14";175599.233854518;952.171692632277;4336.70018582408;5569.53094118959;1408.87999780247;33329.7073825687;921.242379252569;2598.28563913374;890.955295550156;3548.94349199183;1830.95700754731
"15";196692.181835634;951.074755319864;4543.51944588929;6345.72630784068;1407.17164016519;36360.3887659364;915.773280167752;2736.26747624707;882.516554087691;3830.88986786384;1866.53595614639
"16";214812.804174759;955.597606376081;4873.24933594986;6871.60072599234;1402.82798109466;39686.5720982621;910.905878439651;2844.67581266029;875.394297712913;3995.6386781332;1935.49388881767
"17";231372.926607406;979.923309161573;5224.58154239568;7219.3997712368;1402.66012213243;43028.1621509342;905.987814165655;2949.66785471367;869.337718974703;4087.67158914838;2020.86007295744
"18";250621.917662375;982.240265379221;5720.49220700801;7530.87075828242;1398.21446818934;46736.1326312641;901.327981989149;3085.83051357259;863.596902595244;4317.21601566454;2130.89216422816
"19";272808.198443644;980.49009859128;6026.36308390797;8364.69515954085;1390.78268644178;49965.1267349212;896.346212850612;3238.47514240182;855.787677037748;4748.14216691519;2187.62729410849
"20";292722.372734459;976.923700179227;6460.52730279236;9015.47820342696;1381.25859454293;53352.3598277912;891.96814622976;3359.80241265801;849.302268360917;5090.6185899604;2283.58326512119
"21";304643.815506346;976.27096422738;6522.00033406199;9444.21971068598;1372.57939840575;55802.4247209547;886.317211232617;3428.44263003397;841.555614579977;5131.11707352803;2301.27283239444
"22";318202.065198343;980.997287616755;6691.03144720519;9716.64594096078;1362.64758635922;58796.4777736301;881.445980933603;3512.65975546327;835.149349339602;5182.17870876803;2347.86778743471
"23";336592.378193943;982.343510286865;6891.92245760806;10499.4484919751;1351.43115947982;61835.1070879771;876.57886146252;3638.24629869299;827.574237507788;5391.67706213966;2384.20456081982
"24";356746.827383431;981.070555814639;7173.08583019146;12093.2269215436;1339.34310979838;64920.7841313398;872.053743927929;3762.02574421888;820.017479712719;5750.40533790594;2429.74486720354
"25";373103.806808474;989.233008153395;7516.97606535181;13174.4556600547;1327.44073695523;68030.8083612225;867.752772565906;3856.81763451223;813.863026433745;5875.36001709849;2505.43892780934
"26";391049.800892927;993.42894657408;7977.30656847697;14114.8012491907;1314.92568735496;71353.2596402148;863.664187358712;3974.71358033537;808.629382266933;6122.2799915601;2609.77956559891
"27";401275.668410919;1000.06973602014;8014.40180536905;14730.910875134;1302.41468633995;73602.1273338986;858.127925033185;4036.74172830033;801.142159938707;6153.89684925797;2619.01326524697
"28";413192.908415226;1000.83558661338;7993.51037893756;15408.2849260642;1289.54940359884;74809.8250588795;851.269325179;4085.32513779512;793.039113568004;6141.92162379008;2608.12575645287
"29";429197.777711981;997.307756745243;7961.80284923463;17969.9453801891;1276.48095177059;76266.7219543142;844.991822038741;4158.92656207425;784.783921731929;6192.38618757886;2592.11026261956
"30";447108.982389029;991.99118058765;7972.69499661344;22560.5282362473;1263.30905476404;78332.3043727642;839.812463566398;4251.90696541263;776.672164771809;6380.75338163843;2581.34347954005
