"Abundance";"Amplitude";"Phenology"
"CHA";0.214473381153071;2.07399282325971;1
"DIT";1.17439340605698;2.18738657126482;1
"GUI";0.99909663170251;0.979931866076652;1
"LEP";1.54910411864177;0.111397590905582;1
"SKE";1.32951698060013;0.990424789271371;0
"THP";0.37834623040744;0.608381684843019;0
"NIT";0.0349051716057431;0.852208639992758;0
"PLE";0.0281811787715491;0.023612308071103;0
"PSE";1.5913870771544;1.9274212127367;0
"PRO";0.830848126587906;1.0992194568398;0
"PRP";0.88455639199166;1.3826675223262;1
