"1-1";"2-1";"4-1";"5-1";"6-1";"1-2";"2-2";"3-2";"4-2";"5-2";"6-2";"1-3";"2-3";"3-3";"4-3";"5-3";"6-3";"1-4";"2-4";"3-4";"4-4";"5-4";"4-5";"5-5";"1-6";"2-6";"4-6";"5-6";"6-6";"7-7";"9-7";"7-8";"8-8";"9-8";"7-9";"9-9";"10-10";"10-11";"11-11"
"1";1.1;1;1.1;0.9;1;0.9;1;1.1;0.9;0.9;1.1;1;1.1;1;0.9;1;1;0.9;1.1;0.9;1.1;1.1;1;0.9;1.1;0.9;0.9;0.9;0.9;1;1;1;1;1;1.1;1.1;1.1;1.1;0.9
"2";0.9;1;0.9;1;0.9;1.1;0.9;1.1;1.1;0.9;1.1;1;NA;1.1;0.9;1.1;1;1.1;1;1;0.9;1;1;0.9;0.9;1.1;0.9;1;1.1;1.1;0.9;0.9;1.1;1;1.1;1;1.1;1;0.9
"3";1.1;1.1;0.9;1;1;0.9;1;0.9;1;0.9;1.1;0.9;1.1;0.9;0.9;0.9;0.9;0.9;1;1;1;1;0.9;1.1;1;1;1.1;1;1;1.1;1.1;1.1;1;0.9;0.9;1.1;1.1;1.1;1.1
"4";0.9;1.1;1;1;0.9;1.1;1.1;1.1;1;1;0.9;1;0.9;1.1;1.1;0.9;1;1;1.1;0.9;1;1.1;1.1;0.9;1;0.9;1.1;0.9;1;1;1.1;1;0.9;1.1;1.1;0.9;0.9;0.9;1
"5";1.1;1;1;1.1;1;1;1.1;0.9;0.9;0.9;1;1;NA;0.9;0.9;0.9;1.1;0.9;1.1;1.1;1;1.1;0.9;0.9;1.1;1;1.1;1.1;1;1.1;0.9;1.1;1;0.9;0.9;1;1;1.1;0.9
"6";1;1;1.1;0.9;1.1;1.1;0.9;1;1;1.1;1.1;0.9;1.1;1.1;1;1;1.1;0.9;0.9;1.1;1;0.9;1;1.1;1;1.1;1;0.9;1.1;1.1;1;0.9;0.9;0.9;0.9;1;1;0.9;0.9
"7";0.9;0.9;1.1;1;1;1;0.9;1.1;0.9;1.1;0.9;0.9;0.9;1;1.1;1.1;0.9;1.1;1.1;1.1;1;1;0.9;1.1;1;1.1;1.1;1;0.9;1.1;1;0.9;1;0.9;0.9;1.1;1;1;1
"8";1;1;1.1;0.9;1.1;0.9;1;1.1;0.9;1.1;1;1;1.1;1;1.1;1.1;1;1;1;0.9;0.9;0.9;1;1.1;1.1;1.1;0.9;0.9;0.9;1;0.9;0.9;1;1.1;0.9;1.1;0.9;1;1.1
"9";1;1;1.1;1.1;1.1;1;0.9;1.1;1;1;1;1;NA;1.1;0.9;0.9;0.9;1;1;0.9;0.9;1.1;0.9;1.1;1.1;0.9;1.1;1;0.9;1;1.1;1.1;0.9;0.9;1.1;1;1.1;0.9;0.9
"10";1.1;0.9;1.1;0.9;1.1;1;1.1;0.9;1.1;0.9;1;0.9;NA;0.9;1.1;1.1;1;0.9;1;0.9;0.9;1.1;1;1;0.9;0.9;1;0.9;1;1;1.1;1.1;1;1.1;0.9;1.1;1.1;1;1
"11";1.1;1;1.1;1.1;1;0.9;0.9;1;0.9;1.1;1.1;1.1;0.9;1;1;1.1;1.1;1;0.9;1.1;1;0.9;0.9;1;1.1;0.9;0.9;1.1;1;0.9;1.1;1.1;0.9;1;1;0.9;1;0.9;1
"12";1;1;1;1.1;1.1;1.1;0.9;1.1;0.9;1.1;0.9;1;NA;1;0.9;0.9;1.1;1.1;1.1;1;1.1;0.9;1;1.1;0.9;0.9;0.9;1;0.9;0.9;1;1;0.9;0.9;1.1;1;1;1.1;1.1
"13";1;1.1;1;1.1;0.9;0.9;1;0.9;1.1;0.9;0.9;1;1.1;1;1;1;0.9;1;1.1;1;0.9;0.9;0.9;1.1;1.1;0.9;1.1;1.1;1;1;1;0.9;0.9;1.1;1;1.1;1.1;1.1;0.9
"14";1;1;1.1;0.9;1.1;1;1;1.1;0.9;1.1;0.9;1.1;0.9;1;0.9;0.9;1;1;1;1.1;1;0.9;1.1;1.1;0.9;1;1.1;0.9;1.1;0.9;0.9;0.9;1.1;1;1.1;1.1;1;1;0.9
"15";1;0.9;1;1;0.9;0.9;1.1;0.9;1;1.1;0.9;1.1;NA;1.1;1.1;0.9;0.9;0.9;1.1;0.9;1.1;1;1;1.1;1.1;0.9;0.9;1;0.9;1.1;1.1;1;1;1;0.9;1.1;1;1.1;1
"16";0.9;0.9;1.1;1;0.9;1;1;0.9;1.1;1;1.1;1;NA;0.9;0.9;1;0.9;1;1.1;1;0.9;0.9;0.9;0.9;1.1;1.1;1.1;1.1;1;0.9;1;0.9;1;1.1;1.1;1.1;1;1.1;1.1
"17";1.1;0.9;0.9;1.1;1.1;1.1;1.1;1;1;0.9;1;1;0.9;1.1;1.1;1;0.9;1.1;0.9;1.1;1;0.9;1;0.9;0.9;1;0.9;0.9;0.9;1;1.1;1;1.1;1;1.1;1;1;0.9;1.1
"18";0.9;1.1;1;1;0.9;1.1;1;1;1;1.1;1.1;1.1;NA;0.9;1.1;0.9;1;1;0.9;1;1;0.9;1;1.1;0.9;1.1;1;1.1;1.1;0.9;1.1;0.9;0.9;0.9;1;1.1;1.1;0.9;0.9
"19";0.9;1;1.1;0.9;1.1;0.9;1.1;1.1;0.9;1;1.1;0.9;1.1;1.1;1.1;1;1;1;1.1;0.9;1;0.9;1;0.9;1.1;1;0.9;1.1;0.9;1.1;1;0.9;1;1;1.1;0.9;0.9;1;1
"20";1;0.9;1;1;0.9;1.1;1;1.1;0.9;1;0.9;1.1;0.9;0.9;0.9;1.1;1;1.1;0.9;1;1.1;0.9;1;1.1;0.9;1.1;1.1;1;1.1;1;1;1.1;0.9;1;0.9;1.1;1.1;0.9;1
"21";1;0.9;0.9;1;0.9;1;1.1;0.9;1.1;1;1.1;1;NA;1;1.1;1.1;1;0.9;0.9;1.1;0.9;0.9;1.1;1;0.9;1;1;1.1;1.1;0.9;0.9;0.9;1.1;1;1;1.1;1.1;1.1;0.9
"22";0.9;1;1;1.1;1.1;0.9;0.9;1.1;0.9;1;1.1;1;NA;1;1.1;1.1;1.1;1;1;0.9;0.9;1.1;1;1.1;1.1;1.1;0.9;0.9;0.9;0.9;1.1;1;1;0.9;0.9;0.9;1.1;1;1
"23";1;1;1;1;1.1;1.1;0.9;0.9;1;0.9;1.1;1.1;0.9;1.1;1.1;1;1.1;0.9;0.9;0.9;1.1;1.1;0.9;1;0.9;0.9;1;1;1.1;0.9;1;0.9;1.1;1.1;1;1;1;0.9;1.1
"24";1;1.1;0.9;1;1.1;0.9;1;0.9;1;0.9;1.1;1;0.9;1;1.1;1;1.1;0.9;0.9;0.9;0.9;1;1;0.9;1.1;1;1.1;0.9;1.1;1.1;1;1.1;1;0.9;1.1;1.1;1.1;1;0.9
"25";1.1;0.9;1.1;1.1;0.9;1.1;1;0.9;1.1;1;1.1;1.1;NA;0.9;0.9;1;0.9;1.1;1.1;1.1;1.1;0.9;1;1;0.9;1;1;1;1.1;0.9;0.9;0.9;0.9;0.9;1;1;1.1;1;1
"26";0.9;1.1;1;1.1;0.9;1.1;1.1;1;0.9;1.1;1.1;1;1.1;1;1;1.1;1;1.1;0.9;1;1;0.9;0.9;0.9;1;1.1;0.9;1;1.1;0.9;1.1;0.9;1.1;0.9;1;0.9;0.9;1;1
"27";1;1.1;1.1;1.1;1.1;0.9;1.1;1;1;1;1.1;0.9;NA;1.1;1;0.9;1;1.1;1.1;1;0.9;0.9;0.9;0.9;1;1;0.9;0.9;0.9;1.1;1.1;0.9;1.1;0.9;1;1;0.9;1.1;1
"28";1.1;1.1;1.1;1.1;0.9;1.1;1.1;0.9;1;0.9;1.1;1;0.9;1;0.9;1;1.1;1;1;1;1;0.9;1;1.1;1.1;0.9;1;0.9;1;0.9;1;1.1;0.9;0.9;0.9;0.9;1.1;1;1.1
"29";0.9;1;1;1.1;0.9;1.1;1;1.1;1;1;0.9;1;NA;0.9;0.9;1.1;0.9;1.1;0.9;1;1;1.1;1.1;0.9;0.9;1.1;1.1;1.1;1;0.9;0.9;1;0.9;1;1.1;1;1.1;1.1;0.9
"30";0.9;0.9;0.9;0.9;1.1;1.1;0.9;1.1;1;1.1;1;0.9;NA;1;1.1;1;0.9;1.1;0.9;0.9;0.9;1;1.1;1;1.1;1.1;1;0.9;1;1.1;1;1;1.1;0.9;1.1;0.9;1;1.1;1
"31";1;0.9;1.1;1.1;1;1;1.1;1;1.1;1.1;0.9;0.9;1.1;1.1;1;0.9;1;1;0.9;0.9;1.1;1;0.9;1.1;0.9;0.9;1.1;0.9;1;1;1.1;1.1;0.9;1.1;1;0.9;1;1;0.9
"32";1.1;0.9;0.9;1;1;1;0.9;1;0.9;0.9;1.1;1;0.9;1;0.9;1;0.9;0.9;0.9;1;1.1;0.9;1.1;1;1.1;1.1;1;1;1.1;1.1;1;1.1;1.1;1;0.9;1.1;1.1;0.9;1.1
"33";1.1;0.9;0.9;1.1;1.1;1.1;1.1;1.1;0.9;1;1;1;0.9;0.9;0.9;1;1.1;1;1;0.9;1;0.9;1;0.9;0.9;1;1;1.1;1.1;1.1;1;1;1.1;0.9;0.9;1.1;1;0.9;1.1
"34";1;1;0.9;1;1;1;1.1;0.9;1.1;1;0.9;0.9;NA;0.9;1.1;0.9;1;1.1;1.1;1;0.9;0.9;1.1;1.1;0.9;0.9;0.9;1;1.1;1;1;1.1;0.9;1;1.1;1.1;1.1;0.9;1.1
