"S_max";"cyst_burial";"germination";"resuspension";"morta";"e"
"S_max_0.1";0.1;0.01;0.01;0.1;0.2;0.4
"S_max_0.5";0.5;0.01;0.01;0.1;0.2;0.4
"cyst_burial_0.001";0.3;0.001;0.01;0.1;0.2;0.4
"cyst_burial_0.1";0.3;0.1;0.01;0.1;0.2;0.4
"germination_0.001";0.3;0.01;0.001;0.1;0.2;0.4
"germination_0.1";0.3;0.01;0.1;0.1;0.2;0.4
"resuspension_1e-05";0.3;0.01;0.01;1e-05;0.2;0.4
"resuspension_0.001";0.3;0.01;0.01;0.001;0.2;0.4
"morta_0.04";0.3;0.01;0.01;0.1;0.04;0.4
"morta_0.1";0.3;0.01;0.01;0.1;0.1;0.4
"e_0";0.3;0.01;0.01;0.1;0.2;0
"e_0.9";0.3;0.01;0.01;0.1;0.2;0.9
