"CHA";"DIT";"GUI";"LEP";"SKE";"THP";"NIT";"PLE";"PSE";"PRO";"PRP"
"CHA";6.13386648697026e-06;-1.28389134220627e-05;-4.7912093528335e-06;2.02826946109218e-07;-1.73419103942187e-06;-5.50839582325566e-06;0;0;0;0;0
"DIT";2.2629631834931e-06;0.00107041250648152;-1.9162324822576e-05;7.61219026701044e-06;-1.01518677556396e-06;-4.68693902253523e-05;0;0;0;0;0
"GUI";-1.27036220727175e-06;-7.68570936707166e-05;0.000195047164231457;4.18492730372281e-07;-3.75873232177966e-06;-6.69744625224584e-07;0;0;0;0;0
"LEP";-1.63288680606454e-06;-7.9246392221028e-05;-7.77397008367639e-06;8.63541222191009e-06;-1.52582013483467e-06;-8.53355240419434e-07;0;0;0;0;0
"SKE";1.64222151731028e-07;-4.22899500443832e-05;1.54559381800991e-05;9.87717527718012e-07;5.89358457164908e-06;-2.4002271194034e-05;0;0;0;0;0
"THP";5.87950470689307e-07;-6.58029819159851e-05;1.81826471906139e-05;-3.6446284973069e-07;-2.01398634689521e-06;6.11427229066671e-05;0;0;0;0;0
"NIT";0;0;0;0;0;0;0.000257023059412173;-1.83748066138021e-05;4.99501363163271e-06;0;0
"PLE";0;0;0;0;0;0;-1.49345673838245e-06;0.00255040284948208;-1.59071941793147e-05;0;0
"PSE";0;0;0;0;0;0;-3.43981504711094e-05;7.36145206599637e-05;2.83491578563881e-05;0;0
"PRO";0;0;0;0;0;0;0;0;0;0.000347536981415941;-2.78029054406828e-05
"PRP";0;0;0;0;0;0;0;0;0;-1.60210184853482e-05;0.000200342301018824
