"CHA";"DIT";"GUI";"LEP";"SKE";"THP";"NIT";"PLE";"PSE";"PRO";"PRP";"growth_rate"
2.83636964299314e-05;-2.54315985257607e-05;-7.07826524662789e-06;1.72985023232751e-05;0;-1.93858568977649e-07;0;0;0;0;0;1.04090352911068
1.36689075369506e-05;0.00107058698914017;-1.95169752647953e-05;1.57767292432968e-05;0;-2.16203838321957e-05;0;0;0;0;0;0.968339216839218
0;-7.65400058665262e-05;0.000100748379844074;2.21347134546693e-05;0;0;0;0;0;0;0;0.930619193636098
-5.79709263409924e-06;-7.92851151236827e-05;-8.16778380613945e-06;1.4614183933357e-05;-5.09913428110195e-06;-1.256004991759e-06;0;0;0;0;0;2.49740070136125e-05
2.95429738809197e-06;-3.84030070327102e-05;1.76044959605024e-05;3.80698206917001e-06;1.02756105629955e-05;-1.15602287108928e-05;0;0;0;0;0;0.619561479545992
3.22910249590343e-05;-6.53171858557815e-05;1.4031892140297e-05;0;0;7.29877792463191e-05;0;0;0;0;0;1.04215765700554
0;0;0;0;0;0;0.000242125086754181;-1.67450032392581e-05;6.93306098095469e-05;0;0;1.04287042694727
0;0;0;0;0;0;0;0.00396081944488038;0;0;0;1.04006634705951
0;0;0;0;0;0;-2.83226910996843e-05;7.55195037843656e-05;0.000100970127878405;0;0;1.03241180875321
0;0;0;0;0;0;0;0;0;0.000269346512104048;-9.1266578509652e-05;0.335894187301499
0;0;0;0;0;0;0;0;0;0;0.00111771290845817;0.997551268039112
