"CHA";"DIT";"GUI";"LEP";"SKE";"THP";"NIT";"PLE";"PSE";"PRO";"PRP"
1.22677329739405e-05;-2.56778268441255e-05;-9.582418705667e-06;4.05653892218436e-07;-1.92687893269097e-06;-2.75419791162783e-06;0;0;0;0;0
2.2629631834931e-06;0.00107041250648152;-2.12914720250844e-05;3.80609513350522e-06;-1.12798530618218e-06;-2.34346951126761e-05;0;0;0;0;0
-1.15487473388341e-06;-7.68570936707166e-05;9.75235821157283e-05;3.80447936702074e-07;-3.41702938343606e-06;-3.34872312612292e-07;0;0;0;0;0
-3.26577361212908e-06;-7.9246392221028e-05;-7.77397008367639e-06;1.72708244438202e-05;-1.69535570537185e-06;-8.53355240419434e-07;0;0;0;0;0
1.8246905747892e-07;-3.84454091312574e-05;1.71732646445545e-05;8.97925025198193e-07;6.54842730183231e-06;-1.2001135597017e-05;0;0;0;0;0
5.3450042789937e-07;-6.58029819159851e-05;9.09132359530694e-06;-7.28925699461379e-07;-2.01398634689521e-06;6.79363587851857e-05;0;0;0;0;0
0;0;0;0;0;0;0.000233657326738339;-1.83748066138021e-05;4.99501363163271e-06;0;0
0;0;0;0;0;0;-1.49345673838245e-06;0.00127520142474104;-7.95359708965736e-06;0;0
0;0;0;0;0;0;-3.82201671901215e-05;7.36145206599637e-05;2.57719616876255e-05;0;0
0;0;0;0;0;0;0;0;0;0.000315942710378129;-5.56058108813656e-05
0;0;0;0;0;0;0;0;0;-1.60210184853482e-05;0.000400684602037647
