"CHA";"DIT";"GUI";"LEP";"SKE";"THP";"NIT";"PLE";"PSE";"PRO";"PRP"
"CHA";1.34945062713346e-05;-2.56778268441255e-05;-8.6241768351003e-06;4.46219281440279e-07;-1.73419103942187e-06;-3.02961770279061e-06;0;0;0;0;0
"DIT";2.2629631834931e-06;0.000963371255833365;-2.34206192275929e-05;3.80609513350522e-06;-1.12798530618218e-06;-2.57781646239437e-05;0;0;0;0;0
"GUI";-1.27036220727175e-06;-8.45428030377883e-05;8.77712239041555e-05;4.18492730372281e-07;-3.07532644509245e-06;-3.68359543873521e-07;0;0;0;0;0
"LEP";-2.93919625091617e-06;-8.71710314431308e-05;-8.55136709204403e-06;1.72708244438202e-05;-1.52582013483467e-06;-8.53355240419434e-07;0;0;0;0;0
"SKE";1.8246905747892e-07;-4.22899500443832e-05;1.54559381800991e-05;8.97925025198193e-07;6.54842730183231e-06;-1.2001135597017e-05;0;0;0;0;0
"THP";5.3450042789937e-07;-5.92226837243866e-05;8.18219123577625e-06;-6.56033129515241e-07;-1.81258771220569e-06;6.11427229066671e-05;0;0;0;0;0
"NIT";0;0;0;0;0;0;0.000233657326738339;-1.83748066138021e-05;5.49451499479598e-06;0;0
"PLE";0;0;0;0;0;0;-1.49345673838245e-06;0.00140272156721515;-7.95359708965736e-06;0;0
"PSE";0;0;0;0;0;0;-3.43981504711094e-05;7.36145206599637e-05;2.83491578563881e-05;0;0
"PRO";0;0;0;0;0;0;0;0;0;0.000284348439340316;-5.56058108813656e-05
"PRP";0;0;0;0;0;0;0;0;0;-1.7623120333883e-05;0.000360616141833883
