"CHA";"DIT";"GUI";"LEP";"SKE";"THP";"NIT";"PLE";"PSE";"PRO";"PRP"
"1";1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000
"2";2232.05788027387;854.335701134298;2328.85715367643;665.834186411157;1118.38177116998;2284.62589304116;1984.53198911089;713.102679304269;2384.07744761487;892.690298945941;1662.6788266696
"3";6099.08933698274;229.793684119037;1916.52097536109;2087.5547447173;752.149404756913;3879.58105569445;2614.3235773477;774.999243559119;1803.30045845482;2108.29116736624;728.324588844862
"4";15736.0218157343;147.141412681829;1909.72393027963;6174.60770596588;505.999663710981;5929.49047538935;3206.52797405945;813.655166950954;1577.70785750205;3687.76885842025;595.035485358773
"5";30949.1850074015;123.675262703181;4473.55076786534;4189.72805396156;340.663667959581;9410.12110093318;4205.82149303433;766.164972768637;4438.36027609743;3143.91651781865;1398.72174631064
"6";50847.435467297;103.842897791333;8352.96666872593;2966.98989730736;229.490021402177;12019.5803669456;4595.83926878649;765.6575922342;11863.7337741782;3116.65489290395;2395.59685555806
"7";62256.8094600446;211.458180697984;9974.10592398849;1976.72945175374;231.964537074726;12500.9081424946;4353.27688481205;723.502044098588;23436.2517625823;1693.16705939359;2715.07384127596
"8";81470.6310836478;156.052193513133;12688.2066464288;2539.68695928535;153.544914064132;12880.5233187476;4247.00150814348;904.566731514512;24618.6614301319;3461.95531564387;2766.9463234922
"9";89373.0851134534;115.246336255473;14158.4843145063;2974.90152771472;94.6368398522123;12813.9166881691;4228.67252753627;951.730413433758;26670.9927549988;4525.97775244557;2973.70479356869
"10";72879.3501773613;284.488238342256;9557.33003674879;1981.64888545382;171.461532945125;11670.0413080897;3821.78825751461;768.219013262562;31977.4584774846;1126.99651334287;2552.71335059183
"11";79008.2172682038;235.410050374586;12945.1215821609;1411.16536612058;113.333388281048;12840.8293265479;4016.44689069232;896.564690010741;39853.0945768787;2085.54481448581;3066.30770565782
"12";82419.8013212127;173.540948938021;2372.05580557986;2865.18779937518;70.0280676728636;7426.53800434218;2192.41638500643;783.83058581879;7031.26526934112;1206.43827169327;528.276732460389
"13";80431.6480236929;107.928157154524;6242.40905065039;2381.04117273905;47.5525360874398;10479.0081226102;3438.97178412699;811.248192301383;15136.8995357033;2202.67665553329;1259.69046200777
"14";70710.0480908341;241.942249122059;8704.99848458538;1586.72975127654;58.9740097235823;11591.4693755264;3832.69813958039;735.894094039451;25675.6783197877;1310.9310692753;1943.3829005829
"15";87992.7185080022;178.599843822847;6363.96898638877;4229.94042630851;40.058436254926;11200.6286444045;3587.73008741424;930.068802421529;11593.114577548;3121.63841374093;1198.75451538961
"16";75677.4709428511;277.10616510789;10000.8406870985;2823.44249680942;30.7742848658119;12366.6543688399;4105.81489429989;776.204957959954;22934.8683291742;1975.85603272403;2069.38217639595
"17";71369.0781980882;631.635205820916;10395.4739165253;1881.48335525907;40.5342134239944;12327.4326640166;3965.29408225066;758.300772695774;32204.6670674899;1286.73614943827;2436.99334536689
"18";83070.9649378426;336.837984262188;14071.8894968327;1653.49555427099;27.5813481404443;13262.5977345094;4067.50835353608;933.357584260718;35846.4861087557;2639.30522203683;3028.33682847267
"19";95102.5876503436;250.800739852628;9181.86470201945;3805.55870044862;17.0767366201242;11959.1468679793;3685.42015646031;1038.56230359236;14882.8490511838;4592.74452320035;1731.90679529916
"20";85986.0686309555;193.236912779219;13289.9622755225;2917.69985160731;11.6870802986513;12912.097608846;4248.02549458797;882.584025816334;26852.3531950697;3871.05555415904;2795.39525008868
"21";55992.2982553304;262.226454008158;2832.16344723071;1944.47644196943;11.8960488376059;9775.0524026305;3125.85739525411;571.79400182457;13770.5437908082;764.016999188209;860.085701281783
"22";64398.9272667081;354.397626049551;6105.18577805149;1299.90654629623;9.25012877312828;12061.2249629014;3840.33673037693;691.701054016011;25884.327502456;982.367298464363;1633.52841227359
"23";83611.5173405073;246.131999563373;6951.65007928329;3016.65288648902;6.60751372063313;12114.9542473545;3725.09675876246;921.231831264588;14099.0028858724;2499.21802402408;1384.43210113052
"24";90019.197732653;181.921319953771;9235.09750202719;5669.80493547382;4.82274936778503;12367.1269215516;4009.44818455659;925.43010836169;13540.669562667;4060.67583527823;1642.32290117103
"25";75681.9433456536;353.347679310057;11015.2718578994;3778.76288034956;4.98516458687086;12528.2204700817;4168.94077325548;765.088134524842;24931.4070298161;1749.89750368097;2386.61550779111
"26";84034.3661256826;264.135497930235;14088.8419576673;3210.0576480979;3.59295801163582;13164.2588167088;4258.99823490313;892.887328763218;33509.9802258518;3086.2366068913;3034.75275811855
"27";53552.3938304127;295.088145014289;2512.35374951587;2139.71794337674;3.16783844524427;9528.39390138505;2945.25597862215;562.031893428934;12007.2561507731;824.467205065463;719.248200322282
"28";61908.3942990292;182.566188824016;1527.99460592601;2234.16482368348;2.50150053822371;6330.08462601732;1948.72448898241;520.187891079364;5949.90368597095;498.062865631934;370.406308896625
"29";78133.8747634726;110.282576696192;1296.17835027937;7175.96702029069;2.04306616583588;7395.47060220662;2457.84495822212;686.490555348536;3817.2424439884;1113.53486110909;268.058381278377
"30";85500.5381493797;70.6465217261779;2337.3220149586;17077.0164253259;1.7305403336391;9515.4825358588;3333.70166792086;808.513389229767;4015.83137971027;2507.7724253923;383.346918784996
"31";88766.9560472938;50.2234721644919;2337.4599665023;50918.3444101142;1.51657117194252;9919.6096589669;3483.89997526026;829.011556650808;3213.88766874729;3881.81120584846;354.180102339308
"32";81818.0916612456;30.4441934067708;5884.66556092153;20952.5672132073;1.36892077708721;12475.7020654261;4326.52607677822;813.617786326228;7854.59865231864;3888.04167123521;934.230468328883
"33";88376.6350623428;22.8287030920546;8170.38792043556;37372.4820324005;1.26588948659971;12576.1008557495;4301.01527872971;871.835208590873;9406.8239752608;4704.36216666553;1315.02164352641
"34";55985.0222743234;17.1008364194486;2467.52954222239;15799.9758795933;1.14826548912653;4870.73104649186;1547.10723988853;375.504704014442;5301.3881124366;605.848029453404;541.029678055574
"35";71764.7297277632;12.4592973198333;1503.43712741479;46039.0615258095;1.10345619888805;5522.47433222273;1908.22437087364;537.817697164616;3302.86876955185;855.110494789262;313.598750383336
"36";56860.5899997825;23.5034852350266;1877.66411541971;13735.9359386882;3.32894922454775;7641.1244068952;2709.28936388222;525.22902429049;6000.0911292428;461.239036915758;463.786798003223
"37";64102.5848120445;17.7346640734207;1171.79640246103;16768.0302766131;2.62007198069574;5870.4349875918;2019.37555276166;509.018367547499;3738.3383070155;334.316262338068;265.882384325815
"38";79547.0510160527;12.3278853763726;1477.7039640019;43401.1457972794;2.09250739940997;7842.38928462734;2823.33392750881;708.142189879341;3120.65166694848;969.495113649923;275.94808042059
"39";84726.2575045644;7.6932167126981;1301.8673669576;81458.1894758383;1.73092397647476;8606.56226524746;3062.50053402815;767.284338019971;2350.21958175674;1946.46274615344;219.993180157495
"40";86176.6747057338;3.99250070295782;2042.28994337485;75312.379698773;1.47251557258042;10564.4908816108;3663.2730741177;830.440308922315;2489.84359487628;3540.23068750886;300.613606196637
"41";68595.7685439477;2.47280143007847;1263.99103334002;20317.0024901057;1.30695921496222;6475.00545628374;2104.96529909744;521.415956544309;1856.52562723782;737.487855662003;205.876695659986
"42";81637.2606058015;1.95770796471547;1430.3897079687;52116.030741352;1.19222776168002;8163.57069734559;2860.43828758462;702.824835124291;1597.88676646814;1855.6042162726;203.850679707346
"43";81866.126577155;1.36165924245175;1030.19881224411;89307.5707170586;1.11171016544347;7792.51280702993;2717.02018846716;692.5007941319;1213.73121853841;1798.05212055536;147.807418129294
"44";84890.3162986598;0.803203198169193;1111.16144359739;92724.9648610887;1.02555989651303;9299.21907427905;3206.88038347131;775.79650644203;1045.11260824816;3219.82138966809;148.128075538893
"45";37871.5718178688;0.554874856303217;774.208683683556;10278.4401321356;0.985558701663091;3882.66641481283;1213.35322149872;242.047928826537;784.025306728528;667.248373645394;109.702628998532
"46";51930.3693455777;0.643285040029991;543.009608446021;12359.1364118681;0.962701210065913;3888.57561124874;1336.48758446833;326.813755819655;588.277219193015;435.706579346094;77.6185211073587
"47";65930.6136619557;0.663810720009923;402.096480772803;31083.0224506249;0.944186296451823;4426.40331787475;1632.51376979054;448.450756257687;442.449069253814;455.68049935651;56.4747880648662
"48";39172.7614742011;0.588560439357589;293.719916554959;12539.4181053656;0.928529297674536;2681.91078285961;986.922264573638;234.33067865426;332.028002737443;269.482814225712;41.22820089942
"49";56893.6960649788;0.610882419743104;218.104149142496;28997.0398582383;0.914821179376283;3346.91757135231;1314.89522713228;363.023866719456;249.736872037566;290.951706401385;30.68773569721
"50";72010.3863989302;0.549833588344269;583.958454518889;27742.1073989309;0.902457005862656;6063.7150254804;2477.23305046619;586.833879727303;455.321754496697;794.982762886798;74.1771910290939
"51";70716.0203094738;0.547857037208455;427.147072010349;32682.9244990233;0.891030263223526;5399.81461488222;2084.04662402391;535.186473840095;341.8470503858;526.819190907766;54.1828164185125
"52";77727.7161052343;0.517447336563608;1203.03089882901;25026.2854163902;0.880267378236998;8637.73053129823;3364.2404004358;706.155584634985;714.313264443978;1290.44015157727;140.86495453756
"53";58380.4503244619;0.589058043269719;853.516033659289;12757.2135438551;0.869984105800746;4969.06052143171;1746.31200778028;404.784886981111;535.950107953605;546.44617762294;99.4686984425039
"54";48392.4383246733;0.628525582262909;616.472733016366;8070.97540361205;0.860056244618333;3393.51003402287;1231.59851571119;296.482156800639;402.138904136536;313.795590560768;70.5557900854198
"55";29167.2980017198;0.647728898935819;448.736656065784;5417.55058524711;0.850399955077678;1989.78545862071;750.919426307035;162.011761632416;301.78316636083;198.681386708237;50.7050361915606
"56";52462.917180635;0.672467078183584;789.673313297866;13267.6369367632;0.840958530484621;3714.54584551839;1527.34992489786;349.889772370321;344.074600794396;600.05653105453;77.379779054122
"57";70782.8124428453;0.656352715034373;649.275886351158;39926.9151657385;0.83169350528507;4961.73616961941;2077.61875598363;528.187232355403;266.244028712468;1100.51528939027;62.0694118644425
"58";76604.5285740997;0.543277464039936;491.086845056475;76020.7241513552;0.822578678443668;5615.95013219423;2268.66729269904;601.790926444463;201.270328171577;1160.44437497389;47.443626711749
"59";51123.1503366779;0.39425868818071;357.815765157713;11935.0340581857;0.785397293868461;3771.15421391951;1384.70886728526;337.771078259761;151.141424081219;511.84668167014;35.3857575293098
"60";66337.4630822225;0.460315493237699;1040.05206715344;10048.1751227088;0.785471649978644;6788.73609053906;2656.52809481354;545.905168843693;381.719045456555;1166.11727316932;101.443060865473
"61";56844.1932880474;0.549507124485186;744.917329913099;6946.60728786435;0.783009580142241;4475.31068685857;1654.88754509188;385.442573867218;286.528082424663;518.914673822434;73.2276872284739
"62";61210.0356897459;0.592800579905928;541.916013924906;7093.66802937839;0.778610917734945;4058.05368387979;1555.34999006041;404.194675154504;215.092405190636;332.233509647681;52.8305290924387
"63";77315.1886726316;0.596055131514365;547.887776788447;22357.4129750431;0.7729216043529;5704.1911341547;2298.62837942976;601.594427007726;177.866039898325;864.943593118404;49.8267832474964
"64";84243.1292302014;0.550594473149982;579.276949670736;57555.2064890499;0.766393046736324;7313.41263967631;2915.0229956513;726.312144626795;149.826321890608;1930.27537514109;49.5746590235156
"65";81101.7378202994;0.445447097415507;438.999804969876;89229.6257398364;0.759329603919482;7208.07244940314;2682.132670989;679.050981480092;113.385637814058;1616.85441900953;38.1976260735714
"66";83785.1440000812;0.328645704449562;425.880949952348;96154.8843420934;0.734052398349073;8583.28650513673;3069.70055952178;749.492876621881;92.3392181457621;2758.28621354251;35.6990080893789
"67";74084.2180755772;0.273667468863526;311.815398448955;51387.1548260355;0.725631312202638;6981.28668159799;2348.66288067458;593.647061659634;69.4778142102834;1014.6552534925;26.8150011763272
"68";67221.9837984644;0.300958303312467;228.077403701766;25047.2500837152;0.72395919863545;5555.04995901852;1895.13672901057;493.021322503533;52.2939091913208;540.125161880548;20.1700617453458
