"CHA";"DIT";"GUI";"LEP";"SKE";"THP";"NIT";"PLE";"PSE";"PRO";"PRP"
"1";1000;1000;1000;1000;1000;1000;1000;1000;1000;1000;1000
"2";1380.75330155904;1008.35880692794;1075.16166080916;1073.27750465078;1118.31436892909;1295.28246582817;991.192865540408;1093.547300452;989.317772527123;1028.33900244072;1023.96830415763
"3";2436.28083672766;1002.72501519536;1137.35975303715;1325.91792515237;1193.02379646111;1816.00360652773;983.329315591616;1192.22983737717;978.676209960102;1108.83301612903;1029.19983661765
"4";5208.48279256615;994.746000516594;1199.06621986862;2093.16092276764;1238.45815574415;2637.21710655531;976.326111426431;1295.87391600579;968.119443764796;1266.86640426298;1030.49531837733
"5";10819.0409431335;986.245019574405;1358.83060517552;2605.55824921137;1264.27933533571;3972.09797707283;970.653144318195;1392.16140047745;958.051400301286;1405.98402268217;1047.88089483921
"6";20294.654915972;977.429243131892;1679.248682698;2952.90070256415;1276.96409398534;5724.22332811382;965.634195519552;1486.66482174578;949.086794795049;1540.12976565286;1087.8671220064
"7";32177.7849299298;970.814407136449;2080.0448665458;3170.77158397926;1289.82564552578;7568.35649524643;960.441446682375;1573.81473670594;941.916705487491;1605.4973208274;1136.95655565075
"8";47854.3117703403;963.179417266137;2596.86908707476;3457.6321724538;1293.48158526109;9457.25403370067;955.17821420958;1684.0414423779;935.208231311191;1744.98244524034;1187.6128706402
"9";65249.2810707045;954.833322622329;3181.14636779089;3796.43220529265;1290.42013475075;11323.8486867219;949.93736967107;1802.16060349057;928.918686908497;1941.399268702;1242.33373429751
"10";79331.0479978918;949.888820810844;3569.18562597093;4005.67469016269;1296.61022096522;12999.096081809;944.260429196;1893.7351919717;923.514643368935;1979.4417809007;1287.39775660829
"11";94235.4043337971;944.0275348406;4079.68225842688;4140.42797530469;1295.55472189287;14813.1119390418;938.854628723782;1999.7461022149;919.42105030022;2051.14061026746;1342.90244154195
"12";109712.371698628;937.024747959584;4149.35299086438;4458.14128289284;1289.57955395235;15809.4967556236;931.320244681078;2090.16144775;910.534548479015;2084.77937181611;1341.79332573752
