"Abundances";"Amplitude";"Phenology"
"CHA";0.301705993913606;0.301705993913606;1
"DIT";3.18181007483455;3.18181007483455;0
"GUI";1.73699518511022;1.73699518511022;1
"LEP";0.99031748878302;0.99031748878302;1
"SKE";0.779289407592698;0.779289407592698;0
"THP";0.173417552707442;0.173417552707442;0
"NIT";0.820199122704856;0.820199122704856;0
"PLE";2.4404495584856;2.4404495584856;1
"PSE";0.371922577617321;0.371922577617321;1
"PRO";0.700032638336925;0.700032638336925;1
"PRP";1.01680556729032;1.01680556729032;1
