"CHA";"DIT";"GUI";"LEP";"SKE";"THP";"NIT";"PLE";"PSE";"PRO";"PRP"
"CHA";54.047313818013;-23.1631344934341;-23.1631344934341;54.047313818013;-23.1631344934341;-23.1631344934341;0;0;0;0;0
"DIT";54.047313818013;54.047313818013;-23.1631344934341;54.047313818013;-23.1631344934341;-23.1631344934341;0;0;0;0;0
"GUI";-23.1631344934341;-23.1631344934341;54.047313818013;54.047313818013;-23.1631344934341;-23.1631344934341;0;0;0;0;0
"LEP";-23.1631344934341;-23.1631344934341;-23.1631344934341;54.047313818013;-23.1631344934341;-23.1631344934341;0;0;0;0;0
"SKE";54.047313818013;-23.1631344934341;54.047313818013;54.047313818013;54.047313818013;-23.1631344934341;0;0;0;0;0
"THP";54.047313818013;-23.1631344934341;54.047313818013;-23.1631344934341;-23.1631344934341;54.047313818013;0;0;0;0;0
"NIT";0;0;0;0;0;0;54.047313818013;-23.1631344934341;54.047313818013;0;0
"PLE";0;0;0;0;0;0;-23.1631344934341;54.047313818013;-23.1631344934341;0;0
"PSE";0;0;0;0;0;0;-23.1631344934341;54.047313818013;54.047313818013;0;0
"PRO";0;0;0;0;0;0;0;0;0;54.047313818013;-23.1631344934341
"PRP";0;0;0;0;0;0;0;0;0;-23.1631344934341;54.047313818013
