"CHA";"DIT";"GUI";"LEP";"SKE";"THP";"NIT";"PLE";"PSE";"PRO";"PRP"
"CHA";4405648.04702074;902067.555562371;1208626.71549384;133235043.111357;6010531.87630367;4205059.91883202;0;0;0;0;0
"DIT";47766852.0745315;55541.2467995494;979116.005672606;15620220.4922455;20534961.1971745;889570.824107474;0;0;0;0;0
"GUI";40113674.3472517;301379.266208963;554197.381243407;127856081.591273;6778734.36082135;62253044.6947603;0;0;0;0;0
"LEP";6383425.03799578;146146.302968779;1489787.98761212;1564699.87850962;27325397.7558103;24429241.2546084;0;0;0;0;0
"SKE";296199884.872298;662743.576373124;2832459.84051354;120382687.421109;4126740.00388536;2123086.41434821;0;0;0;0;0
"THP";50558718.9428672;387208.105178406;5944933.45786447;63554171.5995196;12651251.5747969;1591116.00281405;0;0;0;0;0
"NIT";0;0;0;0;0;0;462620.321583477;1386651.2164345;21640507.0351516;0;0
"PLE";0;0;0;0;0;0;13958771.2910048;42383.3543230148;2621055.70713398;0;0
"PSE";0;0;0;0;0;0;666649.306268943;734193.652739593;2097136.20069379;0;0
"PRO";0;0;0;0;0;0;0;0;0;85533.4084988503;458215.563066559
"PRP";0;0;0;0;0;0;0;0;0;2891593.25477561;134887.42403167
