"Abundance";"Amplitude";"Phenology"
"CHA";0.289896209083844;2.24441904286267;1
"DIT";0.561678422166814;1.7910177886128;1
"GUI";0.856391602274648;0.586067527440751;0
"LEP";0.711868803679186;0.516691869783372;0
"SKE";1.50511600349988;0.600336013555917;1
"THP";0.409555150330763;0.799164395145017;0
"NIT";0.449616326973506;0.869374821361037;0
"PLE";0.144117596192701;0.0155813886579264;0
"PSE";0.371045349366544;0.55908679301962;0
"PRO";1.37873571203697;1.10392504414651;1
"PRP";1.14075865231037;1.40591846841638;1
