"Abundance";"Amplitude";"Phenology"
"CHA";0.226757845973943;2.24124159333669;0
"DIT";1.46576867527898;2.39304610675374;1
"GUI";0.836650391142542;0.676871654759463;1
"LEP";0.689584207042455;0.349212405513665;1
"SKE";1.73076334104366;0.960838637598916;1
"THP";0.146237132357955;0.832187856931514;0
"NIT";0.141307956135796;0.864117841500939;0
"PLE";0.115072927359267;0.0172770046488138;0
"PSE";0.804096196584962;1.3837004291089;1
"PRO";1.06885573865174;1.11325658303868;1
"PRP";1.10453329409689;1.402777996808;1
