"CHA";"DIT";"GUI";"LEP";"SKE";"THP";"NIT";"PLE";"PSE";"PRO";"PRP"
"CHA";594.520451998142;-254.794479427775;-254.794479427775;594.520451998142;-254.794479427775;-254.794479427775;0;0;0;0;0
"DIT";594.520451998142;594.520451998142;-254.794479427775;594.520451998142;-254.794479427775;-254.794479427775;0;0;0;0;0
"GUI";-254.794479427775;-254.794479427775;594.520451998142;594.520451998142;-254.794479427775;-254.794479427775;0;0;0;0;0
"LEP";-254.794479427775;-254.794479427775;-254.794479427775;594.520451998142;-254.794479427775;-254.794479427775;0;0;0;0;0
"SKE";594.520451998142;-254.794479427775;594.520451998142;594.520451998142;594.520451998142;-254.794479427775;0;0;0;0;0
"THP";594.520451998142;-254.794479427775;594.520451998142;-254.794479427775;-254.794479427775;594.520451998142;0;0;0;0;0
"NIT";0;0;0;0;0;0;594.520451998142;-254.794479427775;594.520451998142;0;0
"PLE";0;0;0;0;0;0;-254.794479427775;594.520451998142;-254.794479427775;0;0
"PSE";0;0;0;0;0;0;-254.794479427775;594.520451998142;594.520451998142;0;0
"PRO";0;0;0;0;0;0;0;0;0;594.520451998142;-254.794479427775
"PRP";0;0;0;0;0;0;0;0;0;-254.794479427775;594.520451998142
