"CHA";"DIT";"GUI";"LEP";"SKE";"THP";"NIT";"PLE";"PSE";"PRO";"PRP"
"CHA";53308341.3689509;9922743.11118608;23930808.9667781;2931170948.44985;66115850.6393404;101762450.035735;0;0;0;0;0
"DIT";236445917.768931;499871.221195945;5983486.70133259;156202204.922455;225884573.16892;10872532.2946469;0;0;0;0;0
"GUI";220625208.909884;6630343.85659719;6705788.31304522;1718953985.83822;149132155.93807;760870546.269293;0;0;0;0;0
"LEP";156039278.706564;3215218.66531314;16387667.8637333;17211698.6636058;150289687.656957;328437576.867513;0;0;0;0;0
"SKE";2932378860.23575;6627435.76373124;31157058.2456489;331052390.408051;181576560.170956;10615432.0717411;0;0;0;0;0
"THP";2224583633.48616;7744162.10356812;71933694.8401601;349547943.797358;126512515.747969;17502276.0309546;0;0;0;0;0
"NIT";0;0;0;0;0;0;2798852.94558003;12479860.9479105;130925067.562667;0;0
"PLE";0;0;0;0;0;0;187667925.134621;233108.448776582;32035125.3094154;0;0
"PSE";0;0;0;0;0;0;3333246.53134472;7268517.16212197;20761648.3868685;0;0
"PRO";0;0;0;0;0;0;0;0;0;1693561.48827724;4582155.63066559
"PRP";0;0;0;0;0;0;0;0;0;7951881.45063293;2967523.32869673
