"CHA";"DIT";"GUI";"LEP";"SKE";"THP";"NIT";"PLE";"PSE";"PRO";"PRP"
4405648.04702074;902067.555562371;2417253.43098768;133235043.111357;12021063.7526073;8410119.83766405;0;0;0;0;0
23883426.0372658;50492.0425450449;1087906.67296956;14200200.4474959;20534961.1971745;988412.026786082;0;0;0;0;0
20056837.1736259;301379.266208963;554197.381243407;142062312.879192;6778734.36082135;69170049.6608448;0;0;0;0;0
7092694.48666198;292292.605937558;2979575.97522424;3129399.75701925;13662698.8779052;27143601.3940094;0;0;0;0;0
296199884.872298;602494.160339204;3147177.6005706;60191343.7105547;8253480.00777072;1930078.55849837;0;0;0;0;0
101117437.885734;352007.368344006;5944933.45786447;31777085.7997598;11501137.7952699;795558.001407026;0;0;0;0;0
0;0;0;0;0;0;231310.160791738;1260592.01494046;10820253.5175758;0;0
0;0;0;0;0;0;15509745.8788943;42383.3543230148;2912284.11903776;0;0
0;0;0;0;0;0;606044.823880857;734193.652739593;2097136.20069379;0;0
0;0;0;0;0;0;0;0;0;171066.816997701;416559.602787781
0;0;0;0;0;0;0;0;0;1445796.62738781;134887.42403167
