"1-1";"2-1";"3-1";"4-1";"5-1";"6-1";"1-2";"2-2";"3-2";"4-2";"5-2";"6-2";"1-3";"2-3";"3-3";"4-3";"5-3";"6-3";"1-4";"2-4";"3-4";"4-4";"5-4";"6-4";"1-5";"2-5";"3-5";"4-5";"5-5";"6-5";"1-6";"2-6";"3-6";"4-6";"5-6";"6-6";"7-7";"8-7";"9-7";"7-8";"8-8";"9-8";"7-9";"8-9";"9-9";"10-10";"11-10";"10-11";"11-11"
"1";1;1.1;1;1.1;1.1;0.9;1;0.9;1;0.9;0.9;0.9;0.9;1;1.1;1.1;1.1;1;0.9;0.9;1.1;1.1;0.9;1.1;0.9;1.1;1;1.1;1.1;1;1.1;0.9;0.9;1;0.9;0.9;0.9;1;1.1;1;1;1;1;1;0.9;1;1;1.1;1.1
"2";0.9;1;1.1;1;0.9;1.1;0.9;0.9;1.1;1.1;0.9;1.1;1;1.1;1.1;0.9;1.1;1.1;1.1;1;1;0.9;1;1.1;1;1;1.1;1;1;0.9;0.9;1;0.9;0.9;0.9;1.1;1;1.1;0.9;1;1;0.9;1;1;0.9;0.9;1;1.1;1.1
"3";0.9;1.1;0.9;0.9;1;1;1;1.1;1;1;1;1;1.1;0.9;0.9;1;0.9;0.9;1.1;1;1.1;1;1;1.1;1;1.1;1;1.1;1.1;0.9;1.1;1;0.9;1.1;1;1;0.9;0.9;0.9;1.1;1.1;0.9;1;0.9;1.1;1.1;1.1;0.9;0.9
"4";0.9;1.1;0.9;1;1;1;1.1;1;0.9;1;1;1.1;1;1.1;0.9;1.1;0.9;1;0.9;1.1;1.1;1;1.1;0.9;0.9;1;0.9;1;1.1;1;1;1.1;1;1.1;1.1;0.9;0.9;1.1;1.1;0.9;0.9;1.1;1;0.9;1;1;1.1;0.9;0.9
"5";1.1;1;1;0.9;1;1.1;1.1;1;0.9;1;1.1;0.9;1;1.1;0.9;1.1;NA;1;1.1;1;0.9;0.9;0.9;1.1;1;1.1;0.9;0.9;1;1.1;1;1;1;0.9;0.9;1.1;1.1;1.1;0.9;0.9;0.9;0.9;1;1.1;1;1.1;1;0.9;1.1
"6";1.1;0.9;1;1;1;1;1.1;1;1;0.9;1.1;0.9;1;0.9;0.9;0.9;1.1;0.9;0.9;0.9;1;1.1;1.1;0.9;1;1.1;0.9;1.1;1;1.1;1.1;1.1;0.9;1.1;0.9;0.9;1.1;1.1;1.1;1;1.1;1;1;1;1;1;1;0.9;0.9
"7";1;1;1.1;1;0.9;1.1;0.9;0.9;1.1;0.9;1;0.9;0.9;1;0.9;1;NA;1;1.1;1.1;1.1;1;0.9;0.9;0.9;1.1;1.1;1.1;1;1;1;1.1;0.9;1;0.9;0.9;0.9;1.1;1;1.1;0.9;1.1;1.1;1;1;1.1;1.1;1;0.9
"8";1;1.1;1.1;0.9;1;1.1;0.9;1.1;1;0.9;0.9;0.9;1.1;1.1;1.1;0.9;NA;0.9;0.9;0.9;0.9;1;1.1;1.1;1;0.9;1;1;1;1.1;1.1;1;1;0.9;0.9;1.1;1.1;1.1;1.1;1;1.1;0.9;1;0.9;1;1;1;1;0.9
"9";0.9;1.1;1.1;1.1;0.9;1;0.9;1.1;0.9;1;0.9;1;1.1;1.1;0.9;1;NA;1.1;1;1;1.1;1.1;0.9;1.1;1;0.9;1;0.9;0.9;1;0.9;1.1;1;1;1.1;1.1;1;0.9;1;1.1;1.1;0.9;1;0.9;0.9;1;1.1;1;0.9
"10";1;1;1;1.1;1.1;1.1;1.1;1.1;1.1;0.9;1;0.9;1.1;1.1;0.9;1.1;1.1;0.9;1;1;0.9;1.1;1;1;0.9;1.1;1;0.9;1.1;1.1;0.9;1;1;0.9;1;0.9;0.9;0.9;1.1;0.9;1.1;1;1;0.9;1;1;1;0.9;0.9
