"1-1";"2-1";"3-1";"4-1";"5-1";"6-1";"1-2";"2-2";"3-2";"4-2";"5-2";"6-2";"1-3";"2-3";"3-3";"4-3";"5-3";"6-3";"1-4";"2-4";"3-4";"4-4";"5-4";"6-4";"1-5";"2-5";"3-5";"4-5";"5-5";"6-5";"1-6";"2-6";"3-6";"4-6";"5-6";"6-6";"7-7";"8-7";"9-7";"7-8";"8-8";"9-8";"7-9";"8-9";"9-9";"10-10";"11-10";"10-11";"11-11"
"1";1;2;0.9;0.9;1.1;0.5;0.9;1;0.5;1;0.9;2;1;1.1;0.9;0.5;1.1;1;1;1;0.5;2;1.1;1.1;0.5;1.1;1;1.1;2;1.1;1;0.9;0.5;0.5;0.9;1;2;2;0.9;1;0.9;0.5;1;2;0.5;2;1;2;1.1
"2";1.1;0.9;0.9;1;1.1;0.9;1;0.5;0.9;1;1;0.5;0.9;1.1;0.5;2;2;0.5;2;1;1;1;2;0.9;0.9;2;1.1;1;1;2;0.9;1.1;1;1;1.1;0.5;2;1.1;0.5;1.1;0.5;1;0.9;2;1;2;0.5;1.1;0.5
"3";1;1;0.9;0.5;0.9;1;2;0.5;1.1;1;1.1;2;1;1.1;2;1;0.5;0.9;1;1;1.1;1;1;2;2;1.1;1.1;0.9;0.5;0.9;1;1;0.9;0.5;0.5;2;0.5;0.5;0.9;1.1;1;1.1;1.1;0.9;0.9;2;0.5;2;2
"4";1;0.9;0.9;2;1;1;1.1;0.5;1.1;1.1;0.9;1.1;1;2;2;1.1;1.1;2;0.9;0.5;1;2;0.9;1;0.5;1;1;1.1;1.1;0.5;2;0.9;0.5;0.9;2;1;0.9;1;0.5;1;1;0.5;0.9;2;0.5;1.1;1;2;0.5
"5";1.1;1.1;1.1;1;0.9;1;0.5;1.1;0.9;1;0.9;1;0.5;2;2;2;1;1.1;0.9;1;0.9;0.9;1.1;0.9;0.5;1;2;0.5;0.5;2;0.9;2;1;1;1;2;0.9;0.5;1.1;1.1;2;1.1;1;0.5;1;0.5;2;0.5;1
"6";0.5;2;0.5;0.5;0.9;1;0.5;0.5;2;0.9;1.1;0.5;1;1;2;1;2;1.1;2;2;1.1;1;1.1;1;1.1;1;2;0.9;1;1;2;1.1;0.9;1;1;0.5;1.1;0.9;0.9;1;1.1;0.9;2;0.5;0.9;0.5;1;0.9;1.1
"7";1;1.1;0.5;1.1;2;1.1;2;1;1.1;0.5;1;0.9;2;0.9;0.9;1.1;0.9;0.5;1.1;0.5;1;1;1.1;1;0.9;1;0.9;1;0.5;2;2;0.9;2;1;0.9;1.1;0.5;1.1;2;1;1;2;0.5;0.9;2;1;0.5;1;0.5
"8";1;1.1;1;1;1;1;1;1.1;0.9;0.5;0.5;1;0.9;2;0.5;1;1.1;2;1.1;0.5;2;0.5;2;0.9;2;0.9;2;1.1;0.9;0.5;1;1;1.1;2;1.1;1;0.9;1;1.1;1;0.5;0.5;1.1;0.9;0.5;2;0.9;2;0.9
"9";0.9;2;1.1;0.9;0.5;1;2;1;0.9;1.1;1;1.1;0.5;0.9;0.5;0.5;1;1.1;0.9;1;0.9;1;1.1;1;1;1.1;0.9;2;0.5;2;1;0.5;1;0.5;1.1;1;0.9;1.1;0.5;0.5;1.1;2;2;1;2;2;0.9;2;1
"10";1.1;1;0.5;0.9;0.9;1.1;2;0.5;2;1.1;0.5;2;1.1;2;1.1;0.5;2;2;0.9;1;0.9;1;0.9;1;0.9;0.9;1.1;1.1;1.1;0.5;2;1;1;1.1;1;0.5;0.9;0.9;1;1;0.5;1;1;0.5;1;2;2;1;0.5
"11";0.9;1;0.9;1.1;1.1;0.5;0.5;2;2;1;0.5;2;1;1.1;1;2;1;1.1;0.5;1;1;1.1;2;0.5;2;0.9;0.5;0.9;1;0.9;0.9;1;1;1.1;1;2;1;0.5;1.1;0.9;2;0.9;1;0.9;1.1;0.5;2;0.5;1.1
"12";2;1.1;0.9;0.9;0.9;2;1;1.1;0.9;0.9;2;1;1;1.1;0.5;1;1.1;1.1;0.5;2;1;2;0.5;0.5;1.1;1;1;2;0.5;0.5;1.1;0.5;1;1;0.5;2;0.9;1.1;2;1.1;0.9;1;2;0.5;1;1;0.9;0.9;1
"13";1;0.5;1;1;0.9;0.5;1;0.9;1;1;2;1.1;2;1.1;0.9;0.5;0.5;0.5;0.9;0.9;1.1;2;2;2;0.5;1;1.1;0.5;0.9;1;1;0.9;0.9;2;2;1.1;2;1;1.1;1;0.5;0.5;1;1;1.1;1.1;1.1;2;0.9
"14";1.1;1.1;2;2;0.9;1;1.1;0.9;2;2;0.5;1;1;0.5;0.5;0.9;1;0.9;2;0.5;1;0.5;0.9;1;0.9;2;1.1;1.1;2;1;0.9;0.9;1;1;1.1;1;1.1;1.1;1;2;1.1;0.9;1;1;0.5;0.5;0.5;2;0.5
"15";0.9;1.1;1;0.9;1.1;1;1;2;1;1.1;2;0.9;1;0.5;1.1;1;0.9;1;0.5;0.5;0.9;2;0.9;1;1.1;0.5;0.5;0.9;2;0.9;2;1;2;0.5;1.1;1.1;1;0.9;1.1;2;0.5;1.1;0.5;1;1;1;2;0.5;2
"16";1.1;1;2;1.1;1;1;0.5;1;2;1.1;0.5;0.9;1;1.1;1;2;1.1;0.9;1;2;1;0.9;0.9;1;1;2;0.5;2;0.9;1;2;0.9;1.1;2;2;0.5;0.9;1.1;0.9;1;1.1;0.5;0.5;0.9;1.1;0.5;0.5;0.5;1
"17";1;1.1;1.1;2;0.5;1.1;1;0.9;2;1;0.9;1;0.9;1;0.9;1.1;0.5;1.1;1;2;0.5;2;1;0.5;1;1;1;1;2;0.9;0.5;2;0.5;2;1;1.1;0.5;0.5;0.9;0.9;0.9;2;1.1;1.1;1;2;0.5;0.9;1.1
"18";2;1.1;1;1.1;0.5;1;2;0.9;1;1.1;1.1;0.5;1;1;1;0.5;0.5;0.5;1;1;2;0.9;1;1.1;0.9;1.1;1.1;2;0.9;2;1;0.5;2;1;0.5;1;2;0.5;1;2;0.9;2;0.9;0.9;0.9;0.9;1.1;1.1;0.5
