"Abundance";"Amplitude";"Phenology"
"CHA";0.285593514743592;-2.22878360304591;1
"DIT";-0.113107110508379;2.24691880291833;0
"GUI";0.0353633282062744;0.729401236196298;0
"LEP";-0.172121548053647;-0.0897975639668087;1
"SKE";-0.386966747490399;0.771847507602553;0
"THP";0.455960599164271;-0.802587017846201;0
"NIT";0.771967275475069;-0.75300945139761;0
"PLE";0.203455990221365;0.0297101433762264;0
"PSE";0.265851776105336;0.713406666833512;1
"PRO";-0.0153797379334089;1.12666527461878;1
"PRP";-0.0034708021008103;1.40497265896967;0
