"CHD";"CHS";"THA";"SKE";"GYR";"PSZ";"NIT";"NAV";"GYM";"PRP"
"1";1e+06;1e+06;1e+06;1e+06;1e+06;1e+06;1e+06;1e+06;1e+06;1e+06
"2";999959.473059435;999984.531042598;998896.710887174;999956.021721338;997144.617549458;0.842801103971812;999605.673421414;999797.592504778;999603.695058902;999817.812461156
"3";999917.112204546;999960.836061018;997794.886421933;999910.745200606;994296.884000382;0.138193971269759;999211.463251509;999595.050473412;999207.54784752;999635.226619941
"4";999874.599670478;999936.640439831;996694.278116056;999865.377190575;991457.252174559;0.0370905450851121;998817.407908773;999392.591902851;998811.557080075;999452.643187101
"5";999832.060323117;999912.372356784;995594.66437496;999820.016343963;988625.727762811;0.0117057252768559;998423.507951483;999190.247299643;998415.723199982;999270.091492859
"6";999789.509479083;999888.069965727;994496.717326109;999774.62735099;985802.30537164;0.00665428241229751;998029.763506809;998987.841319452;998020.046474268;999087.585402851
"7";999746.956388031;999863.757103214;993399.941469226;999729.237763326;982986.93913041;0.00331106051248626;997636.174235692;998785.485930694;997624.526410174;998905.105525238
"8";999704.403742112;999839.440309554;992304.271883414;999683.850377033;980179.609087244;0.0015306362415818;997242.740137707;998583.191587584;997229.1630083;998722.655488322
"9";999661.86634985;999815.134829179;991209.64527934;999638.462938192;977380.537360425;0.00197799262099365;996849.472927616;998380.90021528;996833.961932484;998540.752718599
"10";999619.318703068;999790.818634333;990116.244667762;999593.084085034;974589.21797344;0.00082140399571866;996456.349115909;998178.714174481;996438.911800381;998358.36984089
"11";999576.771859463;999766.501640459;989024.106535103;999547.704444739;971805.870854222;0.000295501041895213;996063.380297868;997976.557740357;996044.018243189;998176.019120713
"12";999534.225410846;999742.183671622;987932.745551723;999502.452885322;969030.471265314;0.000119251636994957;995670.56644702;997774.559816396;995649.281155829;997993.700791999
"13";999491.679619478;999717.864816664;986843.210092855;999457.074072235;966263.010339161;6.74258357015305e-05;995277.907633314;997572.444481099;995254.700726095;997811.424770999
"14";999449.136123881;999693.546697331;985755.080650234;999411.696476823;963503.54473324;6.74951935701446e-05;994885.406228391;997370.358179585;994860.278657033;997629.319584874
"15";999406.595100858;999669.230400014;984667.269990386;999366.58553234;960751.856919269;2.60075882175549e-05;994493.056948137;997168.48419777;994466.010694315;997447.101810868
"16";999364.054230468;999644.912633715;983581.319658553;999321.213376247;958008.038464527;1.33371269920186e-05;994100.86248405;996966.49342709;994071.899174973;997264.924444199
"17";999321.51498713;999620.595089301;982496.207342788;999275.860406898;955272.046205844;5.176188390358e-06;993708.822588433;996764.634989112;993677.943657923;997082.772844718
"18";999278.989527134;999596.289065961;981412.463358022;999230.491247063;952544.100767427;6.76826867653237e-06;993316.947952237;996562.712843234;993284.149672333;996901.131565331
"19";999236.467288898;999571.984957834;980329.950276939;999185.124522346;949823.943536681;8.23873558381745e-06;992925.227552759;996360.829630913;992890.511632411;996719.51304636
"20";999193.93854192;999547.674579159;979248.992051601;999139.760301348;947111.396316441;6.39077661144778e-06;992533.65286038;996158.987304384;992497.025763338;996537.552214948
"21";999151.427761517;999523.379599471;978168.722607175;999094.397709131;944406.776736194;7.25868915794512e-06;992142.243707933;995957.186989925;992103.700298609;996356.083240996
"22";999108.903119449;999499.071336197;977089.869921066;999049.039071733;941709.634337516;3.38847690550222e-06;991750.976301661;995755.457721309;991710.524855179;996174.101923023
"23";999066.38461885;999474.766848588;976012.315172907;999003.680954048;939020.388583349;3.48748001306881e-06;991359.870865486;995553.739735131;991317.509665836;995992.517477745
"24";999023.861620406;999450.457700862;974936.017751599;998958.324771845;936338.639463925;2.23427585356521e-06;990968.912105882;995352.070714823;990924.645986049;995810.610681182
"25";998981.340611367;999426.149138154;973861.064892062;998912.970410952;933664.642268384;1.99918116062853e-06;990578.110166512;995150.434527709;990531.940034711;995628.878592761
"26";998938.820291969;999401.840333911;972787.256344726;998867.617938131;930998.212259738;1.67182281903475e-06;990187.46013889;994948.840467765;990139.38816173;995447.065386227
"27";998896.301688512;999377.532060744;971714.642793627;998822.267529466;928339.403845849;1.22937882954244e-06;989796.96430936;994747.287117888;989746.991995469;995265.293739163
"28";998853.788078934;999353.226853037;970643.164877293;998776.919160477;925688.318547641;1.53072191457017e-06;989406.627805821;994545.773511677;989354.754333899;995083.807243768
"29";998811.273441935;999328.920074058;969572.624839539;998731.574735448;923044.635363752;6.86079932959596e-07;989016.439212821;994344.338534091;988962.668302582;994902.057098224
"30";998768.760234063;999304.613374612;968503.55003055;998686.230688015;920408.561557208;5.50361061809216e-07;988626.405709318;994142.907319233;988570.738890496;994720.413162964
"31";998726.249839189;999280.307961921;967435.694112118;998640.888525816;917780.087166974;6.64627365832723e-07;988236.52871482;993941.516278067;988178.966418959;994538.933304706
"32";998683.740388537;999256.002667741;966369.006048432;998595.54847966;915159.043167358;5.51881276501809e-07;987846.802632624;993740.166109036;987787.347458311;994357.347159111
"33";998641.234177034;999231.699030418;965303.509841342;998550.210506365;912545.567014474;5.80576929124396e-07;987457.233348265;993538.856659164;987395.885581503;994175.945750599
"34";998598.728635105;999207.395176967;964239.194835873;998504.874644241;909939.49552448;5.64037550022229e-07;987067.815290593;993337.587738239;987004.577459473;993994.462342561
"35";998556.323666695;999183.201066465;963175.085225087;998459.540847908;907341.087283217;4.98213320585564e-07;986678.569833593;993136.3597989;986613.430081512;993813.696078845
"36";998513.862826085;999158.942159417;962112.460404209;998414.214672844;904750.059923108;6.24842613199118e-07;986289.470384126;992935.170335612;986222.436443006;993632.749488253
"37";998471.616407094;999134.965411078;961050.650028799;998368.890031409;902166.184344149;1.8815323610152e-07;985900.516017657;992734.022157551;985831.592064374;993451.368680153
"38";998429.171232143;999110.739426149;959990.851457115;998323.579358598;899589.722960935;1.37156490484181e-07;985511.710860055;992532.917521176;985440.903144225;993269.964581392
"39";998386.744781703;999086.5211227;958931.587082836;998278.262272285;897020.850824531;2.03341609204192e-07;985123.074391788;992331.853061816;985050.37478207;993089.204900986
"40";998344.487677306;999062.522831085;957873.290286242;998232.945036341;894459.192010718;8.59637018961236e-08;984734.595918349;992130.827337299;984659.998863566;992908.499181071
"41";998302.07460732;999038.324758716;956816.65977713;998187.641676844;891904.932572832;9.11425435588012e-08;984346.260502061;991929.841983145;984269.778753027;992727.628860623
"42";998259.612032664;999014.065537366;955761.559956006;998142.332044016;889357.768475137;6.87444050778126e-08;983958.068115969;991728.899962623;983879.708584113;992546.345609835
"43";998217.13305099;998989.782478498;954707.711728657;998097.018738833;886817.888966851;4.77430435402221e-08;983570.029023346;991527.999540351;983489.793231409;992365.108182356
"44";998174.655863243;998965.496460038;953654.876829978;998051.705296824;884285.418502953;6.36555455908282e-08;983182.150093688;991327.138965224;983100.036063302;992184.22965473
"45";998132.293067372;998941.3399868;952602.435546811;998006.393277995;881760.275193669;5.16589929364366e-08;982794.437490089;991126.318002352;982710.436076917;992003.809462991
"46";998089.908187628;998917.15134073;951551.19974655;997961.089927556;879242.340083966;5.59670983337839e-08;982406.875188467;990925.53602766;982320.990159072;991823.357344311
"47";998047.458210386;998892.894428481;950501.623076099;997915.792552563;876731.308535455;2.14939301854431e-08;982019.447113129;990724.834521111;981931.691654129;991642.205054636
"48";998004.989905921;998868.613855799;949453.571908425;997870.489657577;874227.558252371;2.01446268161564e-08;981632.174816786;990524.137052636;981542.549835691;991461.248408097
