"Date";"ACH";"ALE";"AST";"BAC";"BID";"CEI";"CEN";"CER";"CHA";"COC";"COR";"COS";"CRY";"DAC";"DIC";"DIN";"DIP";"DIT";"EUC";"EUG";"GOI";"GON";"GRA";"GUI";"GYM";"HEL";"HEM";"HES";"HET";"KAR";"LAU";"LEP";"LIC";"LIT";"MEL";"MEU";"NAV";"NIT";"NOC";"ODO";"OXY";"PAR";"PEN";"PER";"PLE";"POL";"PRB";"PRO";"PRP";"PSE";"RHI";"SCR";"SKE";"STR";"THL";"THP";"TOR";"NEI"
"1995-04-05";NA;NA;1000;NA;NA;NA;1200;NA;NA;NA;NA;1200;NA;400;NA;0;200;3200;NA;1200;NA;1100;400;6600;1600;NA;NA;NA;100;NA;400;NA;NA;NA;800;NA;1800;800;NA;NA;100;5000;NA;NA;NA;NA;NA;NA;300;3200;15200;1700;144000;NA;600;8000;NA;40600
"1995-04-19";NA;100;NA;NA;NA;100;200;600;NA;NA;NA;2200;NA;3600;NA;0;300;400;NA;NA;NA;NA;NA;164400;500;NA;NA;NA;100;NA;800;3200;NA;NA;600;NA;4400;6200;NA;NA;NA;8400;NA;600;NA;NA;NA;300;NA;2600;105600;200;5800;NA;NA;1800;NA;13400
"1995-05-12";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;200;NA;NA;100;100;100;NA;NA;NA;NA;400;NA;16800;9600;NA;NA;NA;500;NA;NA;10600;NA;NA;NA;NA;400;1400;NA;200;NA;2400;1000;1000;NA;NA;NA;700;3200;3200;51400;1700;NA;NA;NA;NA;NA;1200
"1995-05-16";NA;NA;NA;NA;NA;200;NA;NA;NA;NA;NA;1400;NA;400;NA;0;NA;200;NA;NA;NA;NA;NA;18200;1000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1400;200;NA;NA;NA;3600;2600;NA;100;NA;NA;NA;700;600;33800;300;NA;NA;NA;800;NA;400
"1995-06-15";NA;NA;5200;NA;NA;200;8600;29000;243800;NA;NA;5000;NA;15400;NA;2500;800;1000;NA;NA;NA;NA;NA;68600;7800;NA;NA;NA;600;400;2600;54800;NA;NA;NA;NA;4600;3400;NA;800;NA;5800;NA;4600;NA;NA;NA;3600;2300;12600;10600;6600;5200;NA;2800;21200;NA;4900
"1995-07-13";NA;NA;NA;1000;NA;NA;NA;NA;800;NA;NA;800;NA;NA;3400;0;100;NA;NA;NA;NA;NA;NA;1000;1200;NA;NA;NA;NA;NA;NA;190000;NA;NA;NA;NA;800;2400;NA;200;NA;800;NA;800;200;NA;NA;4200;NA;9200;2600;4200;NA;NA;400;NA;NA;1300
"1995-07-26";NA;400;NA;2000;NA;NA;800;NA;35000;NA;NA;7400;NA;1400;24200;200;400;NA;NA;NA;NA;NA;400;3200;24600;NA;NA;NA;800;5200;800;212200;NA;NA;NA;NA;1200;6200;100;400;NA;3200;NA;19600;NA;NA;NA;21000;800;2000;900;60800;NA;NA;2000;1600;200;2000
"1995-08-07";NA;NA;NA;NA;NA;NA;200;NA;23200;NA;NA;2600;NA;6600;24200;0;NA;NA;NA;NA;NA;NA;600;17600;4600;NA;NA;NA;100;NA;NA;469400;NA;NA;NA;NA;3400;3400;NA;1200;NA;400;NA;2400;NA;NA;NA;4800;1000;NA;700;6600;NA;NA;9800;1600;NA;NA
"1995-08-21";NA;NA;NA;NA;NA;NA;2000;NA;194200;NA;NA;4000;NA;14000;1600;0;NA;NA;8800;NA;NA;NA;600;7600;11600;NA;NA;200;NA;NA;NA;263200;NA;NA;NA;NA;4000;NA;NA;400;NA;NA;NA;4800;NA;NA;NA;235800;3400;4600;800;22200;136400;NA;3200;2000;NA;1000
"1995-08-28";NA;100;NA;NA;NA;NA;1000;NA;13800;NA;NA;1000;NA;70000;400;0;NA;NA;NA;NA;NA;NA;NA;3400;1300;NA;NA;NA;NA;NA;NA;22200;NA;NA;400;NA;400;NA;NA;600;NA;NA;NA;800;NA;NA;NA;7400;1000;NA;NA;300;NA;NA;1000;2600;NA;100
"1995-09-05";NA;NA;NA;4400;NA;100;NA;NA;744800;NA;NA;800;NA;48600;18400;100;200;NA;13800;NA;NA;NA;NA;31000;6600;NA;NA;NA;NA;500;1600;109000;NA;800;NA;NA;NA;800;NA;400;NA;1600;NA;1600;NA;NA;NA;1400;1600;7200;900;600;15000;NA;14000;6800;NA;700
"1995-09-13";NA;NA;NA;600;NA;NA;NA;NA;200;NA;NA;1800;NA;200;500;100;200;200;1400;NA;NA;NA;NA;4600;2600;NA;NA;NA;NA;500;1400;4400;NA;400;NA;NA;800;400;200;400;NA;1400;500;2200;NA;NA;NA;NA;300;NA;200;1600;NA;NA;6200;2800;NA;900
"1995-10-11";NA;NA;NA;NA;600;NA;NA;NA;400;NA;NA;1200;NA;400;300;0;300;200;NA;NA;NA;NA;NA;6200;600;NA;NA;NA;NA;NA;NA;NA;NA;600;NA;NA;1000;1600;NA;2600;NA;3800;NA;1200;NA;NA;NA;600;1800;2400;NA;400;NA;NA;800;1800;100;200
"1995-10-18";NA;NA;NA;NA;NA;NA;NA;200;47800;NA;NA;5000;NA;7200;NA;0;600;600;200;4000;NA;NA;NA;40600;6400;NA;NA;NA;100;NA;5200;20200;NA;1800;NA;NA;4800;7600;NA;700;NA;3800;NA;3200;NA;NA;300;700;2000;1600;1800;3800;800;NA;8200;58600;100;34900
"1995-10-24";NA;NA;NA;NA;1600;NA;600;400;20200;NA;NA;6200;NA;2600;200;0;300;2600;6000;600;NA;NA;NA;14400;3600;NA;NA;NA;100;NA;6600;13800;NA;NA;NA;3200;4800;1200;NA;2000;NA;1200;1200;2000;100;NA;300;500;600;2200;900;5600;1200;NA;25600;18800;NA;16500
"1995-11-07";NA;NA;NA;NA;NA;100;1400;NA;18000;NA;NA;2400;NA;3800;200;300;NA;3400;2400;1400;NA;NA;NA;12600;3300;NA;NA;NA;NA;NA;NA;2400;NA;0;NA;NA;5200;2000;NA;4800;NA;1400;600;3000;100;NA;NA;1400;100;4800;1100;7200;1200;NA;46200;5400;NA;8600
"1995-11-22";NA;NA;NA;NA;NA;NA;1200;400;12800;NA;NA;2000;NA;NA;NA;NA;100;400;200;NA;NA;NA;NA;7000;1000;NA;NA;NA;NA;NA;NA;1000;NA;NA;NA;NA;3400;3500;NA;1400;NA;1400;6800;400;NA;NA;NA;400;100;1400;1100;200;NA;NA;20200;1600;100;100
"1995-12-05";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3600;NA;NA;700;NA;NA;NA;NA;NA;NA;NA;NA;NA;400;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;400;NA;NA;NA;NA;2000;2400;4;NA;NA;1200;NA;NA;NA;NA;NA;NA;NA;12000;800;NA;400
"1996-01-09";NA;NA;NA;NA;NA;100;NA;NA;NA;NA;NA;1400;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;400;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;400;NA;NA;NA;600;NA;NA;NA;NA;NA;NA;100;800;100;NA;NA;NA;17200;NA;NA;600
