"CHA";"DIT";"GUI";"LEP";"SKE";"THP";"NIT";"PLE";"PSE";"PRO";"PRP"
"CHA";-0.379268793588188;0.0121440090857833;0.046089489921562;-0.0131620747015802;0.0801035276021882;0.0135443601369281;0;0;0;0;0
"DIT";-0.0585649402645325;-0.423772150763441;0.0857254684097022;-0.103377437700884;0.039253471974282;0.0964717321345591;0;0;0;0;0
"GUI";0.0348294164781564;0.0354581683640981;-0.457577778643113;-0.0120418291081163;0.138571669529204;0.00160646442341988;0;0;0;0;0
"LEP";0.0944194077228116;0.0350490069528651;0.0349672938881011;-0.52405174806927;0.0659098686372147;0.00392451152190734;0;0;0;0;0
"SKE";-0.00526303327497975;0.0169633801867032;-0.0770626096622411;-0.0271814656529714;-0.25397929608038;0.055061721079207;0;0;0;0;0
"THP";-0.0162756179036238;0.0306518029142777;-0.0430685754278907;0.0232947792161212;0.0824632350062136;-0.329057843159809;0;0;0;0;0
"NIT";0;0;0;0;0;0;-0.34121066809963;0.00516455189819316;-0.0554195077325158;0;0
"PLE";0;0;0;0;0;0;0.00248811943548746;-0.408906522130089;0.100675768255161;0;0
"PSE";0;0;0;0;0;0;0.0649479133592487;-0.0240770225860246;-0.332738370768995;0;0
"PRO";0;0;0;0;0;0;0;0;0;-0.408646317290311;0.0550426875801266
"PRP";0;0;0;0;0;0;0;0;0;0.0202698459232446;-0.387974499990371
