"Date";"AST";"BID";"CER";"CHA";"COS";"DAC";"DIT";"EUC";"GUI";"LAU";"LEP";"NAV";"NIT";"ODO";"PARs";"PLE";"PSE";"RHI";"SKE";"THP";"THL";"ALE";"CEI";"DIP";"GON";"GYM";"HET";"KAT";"NOC";"POL";"PRO";"PRP";"SCR";"PHA";"DIC";"NEI"
"1995-04-05";"1000";NA;NA;NA;"1200";"400";"3200";NA;"6600";"400";NA;"1800";"800";NA;"5000";NA;"3200";"15200";"144000";"8000";"600";NA;NA;"200";"1100";"1600";"100";NA;NA;NA;NA;"300";"1700";NA;NA;"44300"
"1995-04-19";NA;NA;"600";NA;"2200";"3600";"400";NA;"164400";"800";"3200";"4400";"6200";NA;"8400";NA;"2600";"106800";"5800";"1800";NA;"100";"100";"300";NA;"200";"100";NA;NA;NA;"300";NA;"200";NA;NA;"13900"
"1995-05-12";NA;NA;NA;NA;"200";NA;NA;NA;"16800";NA;"10600";"400";"1400";"200";"2400";NA;"3200";"51400";NA;NA;NA;NA;NA;"100";"400";"5900";"500";"200";NA;NA;"700";"3200";"1700";NA;"100";"6800"
"1995-05-16";NA;NA;NA;NA;"1400";"400";"200";NA;"18200";NA;NA;"1400";"200";NA;"3600";"100";"600";"33800";NA;"800";NA;NA;"200";NA;NA;"900";NA;NA;NA;NA;NA;"700";"300";NA;NA;"3100"
"1995-06-15";"5200";NA;"29000";"243800";"5000";"15400";"1000";NA;"68600";"2600";"54800";"4600";"1800";"800";"5800";NA;"12600";"10600";"5200";"21200";"2800";NA;"200";"800";NA;"4200";"600";NA;NA;NA;"3600";"2300";"6600";NA;NA;"26200"
"1995-07-13";NA;NA;NA;"800";"800";NA;NA;NA;"1000";NA;"190000";"800";"2400";"200";"800";"200";"9200";"2700";NA;NA;"400";NA;NA;"100";NA;"100";NA;NA;NA;NA;"4200";NA;"4200";NA;"3400";"4100"
"1995-07-26";NA;NA;NA;"35000";"7400";"1400";NA;NA;"3200";"800";"212200";"1200";"6200";"400";"3200";NA;"2000";"900";NA;"1600";"2000";"400";NA;"400";NA;"18600";"800";"4400";"100";NA;"21000";"800";"60800";NA;"24200";"32000"
"1995-08-07";NA;NA;NA;"23200";"2600";"6600";NA;NA;"17600";NA;"469400";"3400";"3400";"1200";"400";NA;NA;"700";NA;"1600";"9800";NA;NA;NA;NA;"4200";"100";"400";NA;NA;"4800";"1000";"6600";NA;"24200";"3200"
"1995-08-21";NA;NA;NA;"194200";"4000";"14000";NA;"8800";"7600";NA;"263200";"4000";NA;"400";NA;NA;"4600";"800";"136400";"2000";"3200";NA;NA;NA;NA;"7400";NA;"3800";NA;NA;"235800";"3400";"22200";NA;"1600";"9000"
"1995-08-28";NA;NA;NA;"13800";"1000";"70000";NA;NA;"3400";NA;"22200";"400";NA;"600";NA;NA;NA;NA;NA;"2600";"1000";"100";NA;NA;NA;"1300";NA;NA;NA;NA;"7400";"1000";"300";NA;"400";"2300"
"1995-09-05";NA;NA;NA;"744800";"800";"48600";NA;"13800";"31000";"1600";"109000";NA;"800";"400";"1600";NA;"7200";"900";"15000";"6800";"14000";NA;"100";"200";NA;"5800";NA;"800";NA;NA;"1400";"1600";"600";NA;"18400";"8100"
"1995-09-13";NA;NA;NA;"200";"1800";"200";"200";"1400";"4600";"1400";"4400";"800";"400";"400";"1400";NA;NA;"200";NA;"2800";"6200";NA;NA;"200";NA;"2000";NA;NA;"200";NA;NA;"300";"1600";NA;"500";"5800"
"1995-10-11";NA;"600";NA;"400";"1200";"400";"200";NA;"6200";NA;NA;"1000";"1600";"2600";"3800";NA;"2400";NA;NA;"1800";"800";NA;NA;"300";NA;"600";"200";NA;NA;NA;"600";"1800";"400";NA;"300";"1900"
