"Type";"Mean_length";"T_opt"
"CHA";"G";"146.47619047619";"15.4602964623374"
"DIT";"S";"131.428571428571";"13.7893416721531"
"GUI";"S";"136.857142857143";"16.73878637428"
"LEP";"S";"110.285714285714";"17.3527080414855"
"NIT";"G";"148.380952380952";"14.663514721141"
"PLE";"G";"144.333333333333";"15.1773222570103"
"PSE";"S";"139";"15.626556003304"
"SKE";"S";"121.47619047619";"12.2926214024071"
"THP";"G";"151.904761904762";"14.3800893492063"
"PRO";"S";"131.857142857143";"16.1950170194425"
"PRP";"S";"138.238095238095";"15.9811360466168"
