"Type";"Mean_length";"T_opt";"Mean_amplitude";"Season";"Val_b";"S"
"CHA";"G";146.47619047619;11.4022645044032;3.31485413366996;1;1084.42404281348;0.497689894461646
"DIT";"S";131.428571428571;9.3668209724208;1.37056962633298;0;16.9676306955516;0.0635281175102805
"GUI";"S";136.857142857143;11.6089572358858;2.33040948647442;1;36.3653748854995;0.11892474798281
"LEP";"S";110.285714285714;14.2450686813187;2.93534119901666;2;7.18952026218176;0.37451087519601
"NIT";"G";148.380952380952;9.46738639180369;2.00781905829307;0;1153.62621545792;0.00347472032725667
"PLE";"G";144.333333333333;11.3230532826961;1.25724928224396;0;692.302933316678;0.366740711418794
"PSE";"S";139;10.8154577961721;2.85147624640719;1;50.5168675743043;0.000435211639903835
"SKE";"S";121.47619047619;9.08477184720042;2.51888301157479;0;7.35203905031085;0.34547503410366
"THP";"G";151.904761904762;9.3056252804152;2.19360185142581;0;1250.59278647415;0.393207567687407
"PRO";"S";131.857142857143;13.0576927437642;2.13995486594467;2;25.2188435457647;0.132287083430847
"PRP";"S";138.238095238095;11.2842304921969;1.83507335387723;1;46.9799718521535;0.0635281175102805
