"CHD";"CHS";"THA";"SKE";"GYR";"PSZ";"NIT";"NAV";"GYM";"PRP"
"1";1e+06;1e+06;1e+06;1e+06;1e+06;1e+06;1e+06;1e+06;1e+06;1e+06
"2";999957.957994416;999976.248276192;998896.681854508;999954.717717876;997144.04643835;0;999605.629455388;999797.586973574;999603.694892383;999817.295639974
"3";999915.469464711;999951.984238075;997795.075037145;999909.295194106;994296.269694882;0;999211.41474197;999595.050973974;999207.547476836;999634.721281973
"4";999872.944177819;999927.677566886;996694.488097976;999863.874274354;991456.605727726;0;998817.355281114;999392.591124171;998811.55653165;999452.150010109
"5";999830.403472243;999903.348736648;995594.85942573;999818.473684272;988625.050586196;0;998423.451218414;999190.243701528;998415.722476379;999269.61061048
"6";999787.855719231;999879.012302812;994496.87465383;999773.054551132;985801.593608164;0;998029.702579329;998987.836195288;998020.045557367;999087.117355111
"7";999745.305872156;999854.672651979;993400.059809378;999727.637534617;982986.194756698;0;997636.109174323;998785.479136661;997624.52530956;998904.649881064
"8";999702.757661732;999830.332004779;992304.351532132;999682.223762838;980178.833771175;0;997242.670969706;998583.182843345;997229.16172955;998722.212121786
"9";999660.225598659;999806.000378069;991209.692455919;999636.810520345;977379.66302043;0;996849.393487706;998380.890035179;996833.960112853;998540.342964426
"10";999617.682670991;999781.661383732;990116.259250099;999591.405072386;974588.311605272;0;996456.265542107;998178.702693541;996438.90980503;998357.964736938
"11";999575.139276387;999757.322390412;989024.087175626;999545.999305382;971804.934932427;0;996063.292629673;997976.544154855;996044.0160717;998175.625620545
"12";999532.595971584;999732.983181092;987932.70655355;999500.714037256;969029.506596426;0;995670.474692537;997774.542453769;995649.278810062;997993.319413742
"13";999490.052175417;999708.643873921;986843.131464821;999455.309710044;966262.014211101;0;995277.81172811;997572.425535343;995254.69819194;997811.055870183
"14";999447.510028184;999684.305259203;985754.956638875;999409.906952542;963502.491176754;0;994885.304834251;997370.337787826;994860.275806839;997628.968677734
"15";999404.972058295;999659.967255534;984667.127442393;999364.754114335;960750.77418076;0;994492.951466024;997168.460457397;994466.00767001;997446.761033093
"16";999362.433954979;999635.629083992;983581.137873624;999319.356412185;958006.925413018;0;994100.752872717;996966.468094266;994071.895964428;997264.595716457
"17";999319.895921515;999611.291452122;982495.999747798;999273.977269099;955270.905380582;0;993708.708906577;996764.606755179;993677.94027321;997082.456045571
"18";999277.372485058;999586.961928087;981412.221921838;999228.58283388;952542.869863521;0;993316.824600879;996562.683169844;993284.145765984;996900.846108001
"19";999234.852574709;999562.633825583;980329.675285316;999183.190433882;949822.615985523;0;992925.094667063;996360.799095453;992890.507211493;996719.240416653
"20";999192.326741637;999538.300908341;979248.670411535;999137.800103648;947110.019086422;0;992533.515069748;996158.955976842;992497.021075206;996537.284783149
"21";999149.820856889;999513.979162888;978168.370898566;999092.411746567;944405.302722424;0;992142.095185391;995957.154366748;992103.695056549;996355.844789666
"22";999107.30209681;999489.647941403;977089.480210787;999047.026664397;941708.130706452;0;991750.823673569;995755.424132999;991710.519435631;996173.866882967
"23";999064.78793059;999465.319913924;976011.885415807;999001.642556006;939018.806634944;0;991359.710122151;995553.704734133;991317.503784164;995992.307609001
"24";999022.269790979;999440.988675706;974935.543991213;998956.260557146;936337.02628898;0;990968.747217955;995352.03462449;990924.639914903;995810.40758438
"25";998979.753743428;999416.657865918;973860.541385589;998910.880518538;933662.975697851;0;990577.939760458;995150.397023295;990531.933643722;995628.692469637
"26";998937.23905886;999392.326952383;972786.683895053;998865.50250966;930996.509792524;0;990187.285375694;994948.801675874;990139.381550696;995446.890215706
"27";998894.726746556;999367.99647465;971714.020580543;998820.126575791;928337.665152017;0;989796.785122687;994747.246916027;989746.98515589;995265.131321064
"28";998852.21994024;999343.668361818;970642.494874437;998774.752715354;925686.509755272;0;989406.441399618;994545.731912361;989354.747073182;995083.667134359
"29";998809.71215128;999319.339233805;969571.915919875;998729.382567135;923042.800039692;0;989016.248749788;994344.295449265;988962.660866235;994901.924342103
"30";998767.204939062;999295.010631375;968502.793102239;998684.012947262;920406.686943343;0;988626.210564142;994142.862794088;988570.731199615;994720.294408717
"31";998724.699951151;999270.68311065;967434.888256091;998638.645341496;917778.153951884;0;988236.327475124;993941.470380917;988178.958369515;994538.83269033
"32";998682.196686189;999246.355600244;966368.150099644;998593.279788129;915157.070480863;0;987846.596790866;993740.119009284;987787.339163013;994357.257049766
"33";998639.697211698;999222.029422549;965302.603352459;998547.916311582;912543.535335314;0;987457.021281621;993538.808198611;987395.876919577;994175.873686462
"34";998597.19864835;999197.703215176;964238.237642193;998502.554910886;909937.419054529;0;987067.598262807;993337.538089656;987004.568519914;993994.401534796
"35";998554.812195372;999173.455320355;963174.112253744;998457.195585008;907338.91078128;0;986678.337848475;993136.308835193;986613.420500224;993813.671183981
"36";998512.371845632;999149.158803909;962111.461637607;998411.838864089;904747.787648728;0;986289.227320857;992935.118975992;986222.426301718;993632.722058935
"37";998470.153679786;999125.064111739;961049.639022582;998366.48421982;902163.885121839;0;985900.266317644;992733.970159408;985831.581730398;993451.343300046
"38";998427.729544789;999100.790917;959989.797446897;998321.132601841;899587.392085007;0;985511.456755075;992532.864294037;985440.892581381;993269.949015417
"39";998385.311756814;999076.526307985;958930.513926486;998275.782344877;897018.430452391;0;985122.80782548;992331.798423763;985050.36362207;993089.223581632
"40";998343.09900213;999052.422484811;957872.203422208;998230.434045078;894456.707499312;0;984734.314332416;992130.772079147;984659.98725554;992908.522215175
"41";998300.7065417;999028.170421471;956815.543082847;998185.0887993;891902.368009554;0;984345.969241414;991929.786294773;984269.766628495;992727.647086237
"42";998258.250626798;999003.878415593;955760.402048083;998139.74494949;889355.17189909;0;983957.772554517;991728.843437499;983879.696244763;992546.367201668
"43";998215.7788884;998979.569943511;954706.505724754;998094.402620999;886815.261837423;0;983569.729075092;991527.941606758;983489.780662468;992365.14177034
"44";998173.310018362;998955.259063516;953653.62827734;998049.062148066;884282.723809834;0;983181.842017335;991327.079617562;983100.023029444;992184.287334857
"45";998130.97010751;998931.041501542;952601.172373173;998003.723725443;881757.483993092;0;982794.114233559;991126.257646971;982710.422402925;992003.888281687
"46";998088.616417299;998906.79624534;951549.921030644;997958.38794313;879239.451379974;0;982406.53805508;990925.475326796;982320.975867504;991823.428464444
"47";998046.176320859;998882.504722545;950500.313786266;997913.056213534;876728.397821713;0;982019.105965317;990724.773258992;981931.677190892;991642.274644149
"48";998003.714259743;998858.199367028;949452.218259302;997867.724370679;874224.604539865;0;981631.828118447;990524.074356922;981542.535046224;991461.334306345
"49";997961.260423029;998833.895801583;948404.92344716;997822.394302064;871728.052158991;0;981244.706719036;990323.415769045;981153.549971441;991280.757550931
"50";997918.794700655;998809.583024976;947359.107721873;997777.066343378;869238.47355858;0;980857.733041713;990122.799443723;980764.71449165;991099.737378869
"51";997876.404619941;998785.322936742;946313.643254915;997731.740349011;866756.210093424;0;980470.920995472;989922.222424595;980376.039197555;990919.504224297
"52";997833.95518932;998761.017723848;945269.77502696;997686.420316804;864280.809104973;0;980084.25225718;989721.738623717;979987.511294987;990738.515695257
"53";997791.526415548;998736.729836168;944226.803794479;997641.098730531;861812.689164192;0;979697.743040282;989521.243217081;979599.143340731;990558.212193018
"54";997749.077849974;998712.426328929;943185.403635954;997595.779221468;859351.561262488;0;979311.383157012;989320.787111677;979210.927703179;990377.686413694
"55";997706.625323397;998688.120512336;942145.236345381;997550.461667455;856897.455547053;0;978925.175260868;989120.371861867;978822.865659461;990197.166098563
"56";997664.18025256;998663.817449367;941106.02297349;997505.146086385;854450.388158362;0;978539.121135927;988919.99737362;978434.958326465;990016.800741342
"57";997621.7837819;998639.546433964;940067.499741926;997459.832621097;852010.350490982;0;978153.222871585;988719.663277772;978047.206160653;989836.711017961
"58";997579.423414346;998615.297142927;939030.067047748;997414.521486744;849577.284737601;0;977767.477215996;988519.369227052;977659.607772669;989656.666365884
"59";997537.019381957;998591.018393461;937994.087171454;997369.212672061;847151.138409513;0;977381.880624272;988319.11567252;977272.161934278;989476.458300241
"60";997494.580899222;998566.72039635;936959.688992772;997323.905798454;844731.747633634;0;976996.43025559;988118.907418219;976884.864514138;989295.755825373
"61";997452.134631858;998542.416062475;935926.562014644;997278.600692145;842319.30767595;0;976611.132462745;987918.737169826;976497.721537758;989115.163198504
"62";997409.687482982;998518.108994957;934894.604460507;997233.297509569;839913.756762458;0;976225.986621528;987718.607474193;976110.731984497;988934.602962461
"63";997367.380404979;998493.90554365;933862.861597794;997187.996350445;837515.246452165;0;975841.00206748;987518.518073007;975723.90118076;988754.814321764
"64";997325.007325133;998469.637087331;932832.492564892;997142.697889444;835123.562920005;0;975456.165998525;987318.467717735;975337.222810993;988574.825531416
"65";997282.690489656;998445.418404548;931803.029474151;997097.401507995;832738.731869547;0;975071.484219229;987118.45807784;974950.698474373;988395.028927542
"66";997240.282527134;998421.135262905;930775.503268451;997052.107364691;830360.542546276;0;974686.945603707;986918.488908036;974564.32205759;988214.591848683
"67";997197.871518596;998396.851535666;929748.759055739;997006.814902509;827989.282482107;0;974302.563299168;986718.56163467;974178.10263454;988034.627798577
"68";997155.587570529;998372.65946008;928722.681360951;996961.524392855;825624.830107076;0;973918.337206688;986518.674123021;973792.037824838;987854.978416568
"69";997113.251772069;998348.417125779;927697.865909935;996916.236492934;823267.119250944;0;973534.260433609;986318.826317795;973406.125445115;987675.220452598
"70";997070.916927683;998324.182133496;926674.143147337;996870.950667237;820916.14528729;0;973150.335560533;986119.019262742;973020.366137249;987495.526337913
"71";997028.58892527;998299.950236921;925651.52659404;996825.66685107;818571.888917511;0;972766.562380439;985919.252696085;972634.759789709;987315.88082762
"72";996986.465817352;998275.89773191;924629.943677391;996780.385144623;816234.182952474;0;972382.940553937;985719.526600942;972249.302559796;987136.089175452
"73";996944.151325818;998251.682083381;923609.873677159;996735.106589532;813903.280428828;0;971999.467148577;985519.84150666;971864.000736394;986956.323012174
"74";996901.993685165;998227.610373699;922590.550205504;996689.829300381;811579.03114789;0;971616.149589739;985320.196879836;971478.852447562;986776.873929096
"75";996860.016062413;998203.676686086;921572.339575093;996644.554812626;809261.366541191;0;971232.98301934;985120.59220464;971093.855311162;986597.371813148
"76";996817.708979746;998179.486772775;920556.005733487;996599.283716105;806950.310052142;0;970849.960086307;984921.028170627;970709.009417743;986417.449216825
"77";996775.455545064;998155.333751525;919540.086562066;996554.01274359;804645.95540715;0;970467.095102449;984721.50556759;970324.319355088;986238.075211
"78";996733.220568962;998131.171989345;918525.293490879;996508.744010662;802348.176829312;0;970084.380771068;984522.022406126;969939.781646561;986058.694144956
"79";996691.187767936;998107.203034235;917511.571757509;996463.477391709;800056.824762438;0;969701.81730174;984322.579599447;969555.39297064;985879.191660745
"80";996649.324271447;998083.392854122;916498.96034684;996418.214108328;797772.05211207;0;969319.405305887;984123.177716009;969171.157432633;985699.802603525
"81";996607.268733166;998059.415723892;915487.493668213;996372.954245694;795493.917976902;0;968937.143680848;983923.816146077;968787.07676303;985520.523739466
"82";996565.171203954;998035.39766009;914477.13275554;996327.695176529;793222.283417456;0;968555.033208298;983724.494663078;968403.148420154;985341.298425162
"83";996522.882489025;998011.212293122;913468.234530426;996282.43794715;790957.100645253;0;968173.069657392;983525.213538322;968019.370955942;985161.871789278
"84";996480.60081191;997987.025300906;912460.178199215;996237.181542867;788698.418279089;0;967791.259601979;983325.973414061;967635.746609234;984982.67294067
"85";996438.242360677;997962.771761285;911453.782530768;996191.927088679;786446.124778866;0;967409.595432045;983126.773310048;967252.272258035;984803.172207811
"86";996395.86351256;997938.501413551;910448.481864744;996146.674195634;784200.274445481;0;967028.082204068;982927.614348363;966868.950149024;984623.749136129
"87";996353.472885742;997914.218629253;909444.506542253;996101.423116263;781960.80581183;0;966646.718007492;982728.495773215;966485.778969365;984444.236436686
"88";996311.270832681;997890.092255496;908440.847963856;996056.173945696;779727.717373091;0;966265.510974761;982529.417860062;966102.760061284;984265.138810501
"89";996269.260909729;997866.093194285;907438.264399189;996010.927670644;777500.941433601;0;965884.451885558;982330.379626913;965719.890838328;984085.808086862
"90";996227.069705962;997841.963109086;906436.911788957;995965.685083298;775280.702255951;0;965503.543507252;982131.382178876;965337.177551027;983906.753347934
"91";996184.738511059;997817.730881296;905437.205640666;995920.443571058;773066.722162636;0;965122.781116798;981932.424497962;964954.613845624;983727.414080338
"92";996142.468076629;997793.540242448;904437.996241854;995875.203266209;770859.147074828;0;964742.174487945;981733.507881573;964572.204217967;983548.512464088
"93";996100.235302152;997769.41823476;903439.832729866;995829.965214161;768657.636887972;0;964361.708804192;981534.630758567;964189.939470298;983368.871501344
"94";996058.106042891;997745.435535472;902442.762912305;995784.729818502;766462.419525738;0;963981.393364278;981335.795817414;963807.826234687;983189.279872806
"95";996015.784841669;997721.233691346;901447.612618558;995739.49757104;764273.554373153;0;963601.22874942;981137.001424953;963425.866331405;983009.849251828
"96";995973.480211555;997697.026339391;900452.88999182;995694.265800015;762091.093585547;0;963221.221103634;980938.246936757;963044.062272607;982831.028677881
"97";995931.405337656;997673.02306677;899459.130351589;995649.03596624;759914.636758921;0;962841.357944263;980739.53140951;962662.403565818;982651.648350328
"98";995889.273614584;997648.941959514;898466.48526981;995603.809479362;757744.646121518;0;962461.651079732;980540.85737557;962280.902384163;982472.953482172
"99";995847.373377925;997625.111304103;897474.901741982;995558.584927821;755580.600484695;0;962082.087017505;980342.222246815;961899.546024769;982293.612577275
"100";995805.236691631;997601.044000568;896484.517595579;995513.364065627;753422.979366954;0;961702.678440695;980143.628854747;961518.346856081;982114.918167355
"101";995763.231487338;997577.105568905;895495.124051664;995468.143685684;751271.467995426;0;961323.421626367;979945.07447158;961137.298358667;981936.338269509
"102";995721.225881358;997553.14677622;894506.825664738;995422.926241694;749126.154078504;0;960944.313894955;979746.560001471;960756.401722075;981757.770918701
"103";995678.941940894;997528.959045042;893519.607912757;995377.710773589;746986.715609448;0;960565.34590305;979548.085667638;960375.649202373;981578.45434738
"104";995636.849616707;997504.958804308;892533.488626532;995332.495782431;744853.523883364;0;960186.536992343;979349.653667483;959995.051573228;981399.870355194
"105";995594.552497077;997480.75407417;891549.201765127;995287.28386418;742726.440087782;0;959807.870621404;979151.260656579;959614.604357208;981220.915199486
"106";995552.235761369;997456.523297091;890565.609104333;995242.072773557;740605.498643366;0;959429.357116698;978952.908317942;959234.310057322;981042.289311332
"107";995510.042847028;997432.382846083;889582.779114533;995196.863410829;738490.642860556;0;959050.996505001;978754.595628091;958854.167586652;980863.907869468
"108";995467.720464255;997408.137946282;888601.828038783;995151.656647061;736381.628621396;0;958672.775698234;978556.323082761;958474.170022523;980684.821266424
"109";995425.37070801;997383.874208659;887622.039837116;995106.451381762;734278.652304043;0;958294.70417982;978358.0923554;958094.323255977;980505.794021635
"110";995383.018420202;997359.602618557;886643.315108449;995061.247815106;732181.775789817;0;957916.783963652;978159.90160218;957714.629369764;980327.024079609
"111";995340.697163071;997335.348670385;885665.047573148;995016.046224206;730090.96795952;0;957539.017298948;977961.750502092;957335.088457073;980148.635424975
"112";995298.570128931;997311.254873503;884687.620050621;994970.846912922;728005.970963884;0;957161.400339919;977763.638681474;956955.694317466;979970.117172158
"113";995256.334305166;997287.055929746;883711.427338385;994925.650554051;725927.107068351;0;956783.931712888;977565.567367111;956576.454232689;979791.78868469
"114";995214.14027346;997262.899319233;882736.177222185;994880.456112378;723854.175044651;0;956406.613729033;977367.53575986;956197.364941294;979613.593760766
"115";995171.917335545;997238.714309816;881762.063478899;994835.263825249;721787.15873866;0;956029.443639362;977169.544038126;955818.425643564;979435.376624698
"116";995129.617669079;997214.478145415;880789.476091157;994790.073517652;719725.993005373;0;955652.418463827;976971.592587031;955439.634885704;979256.9277412
"117";995087.526637114;997190.430636163;879817.431246784;994744.884817778;717670.597614509;0;955275.545337617;976773.681956026;955060.991810758;979078.561824154
"118";995045.247967311;997166.210228677;878847.249042594;994699.699161471;715621.140990137;0;954898.815117995;976575.811515382;954682.49947604;978899.977010883
"119";995002.963951732;997141.98759552;877877.592377812;994654.514794697;713577.63381444;0;954522.238341447;976377.981689201;954304.160108607;978721.828701892
"120";994960.666611382;997117.746305759;876909.102739538;994609.332318544;711539.946390967;0;954145.809200691;976180.191145549;953925.970315384;978543.638063677
"121";994918.464031938;997093.579113966;875941.35284011;994564.151797497;709508.116680101;0;953769.532055162;975982.440745907;953547.931574361;978365.699572579
"122";994876.463656952;997069.579344996;874974.644146457;994518.973739361;707481.881295567;0;953393.400131597;975784.729899154;953170.037474274;978187.374545518
"123";994834.436959321;997045.548815171;874009.009286082;994473.799088577;705461.666805053;0;953017.419503752;975587.060209249;952792.298266238;978009.494045779
"124";994792.594211648;997021.718368596;873044.421743871;994428.626521899;703447.052876401;0;952641.586988297;975389.429601109;952414.705569259;977831.491590592
"125";994750.716492152;996997.854426799;872080.897835518;994383.45736527;701438.355155016;0;952265.903172332;975191.839504436;952037.265753816;977653.682528597
"126";994708.501309059;996973.703526256;871119.092916948;994338.290056857;699435.284864269;0;951890.361124821;974994.288953986;951659.972762231;977475.464629435
"127";994666.256566023;996949.514662953;870157.90164016;994293.12273479;697438.014769052;0;951514.971243864;974796.77957558;951282.831405647;977297.601820742
"128";994624.21058789;996925.493213495;869197.585687089;994247.957119717;695446.359042556;0;951139.73189117;974599.309603164;950905.837953505;977119.826042533
"129";994581.952526052;996901.289315429;868239.093258876;994202.79457844;693460.277214475;0;950764.630842954;974401.88104938;950528.990018182;976941.397770243
"130";994539.713159731;996877.09611564;867281.021565951;994157.633042789;691480.096810702;0;950389.685613985;974204.492701643;950152.297110535;976763.689441688
"131";994497.43427;996852.862715755;866324.338947497;994112.4735081;689505.51227682;0;950014.885310579;974007.142936456;949775.752283754;976585.78676922
"132";994455.252086105;996828.706662492;865368.275179267;994067.315783534;687536.623622629;0;949640.23726852;973809.833422386;949399.358305543;976408.208172349
"133";994413.098598353;996804.557147451;864413.268066717;994022.160510757;685573.353916846;0;949265.736616904;973612.563225952;949023.113375674;976230.629630179
"134";994370.883260743;996780.366007206;863459.469240317;993977.007606253;683615.672598676;0;948891.381673434;973415.333020602;948647.01697216;976052.967620856
"135";994328.839900342;996756.326765638;862506.541152915;993931.856469208;681663.536579365;0;948517.177213391;973218.143134927;948271.069046834;975875.475301774
"136";994286.593817317;996732.121380663;861555.398226893;993886.708264704;679716.804993629;0;948143.110274885;973020.997229307;947895.264981935;975697.254239113
"137";994244.416446224;996707.971907732;860604.616952256;993841.561167343;677775.897964284;0;947769.200040293;972823.889033605;947519.616156034;975519.839775283
